[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64 --kdir /mnt/m2data/linux-worktrees/v6.5 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.5
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.5
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.5
Detected kernel version: 6.5.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffff800080f30978, type=OBJECT, size=0xe20)
[I] Syscall lookup_dcookie (__arm64_sys_lookup_dcookie) is not really implemented: dummy implementation: a0048092c0035fd6
[I] Syscall pkey_mprotect (__arm64_sys_pkey_mprotect) is not really implemented: dummy implementation: a0048092c0035fd6
[I] Syscall pkey_alloc (__arm64_sys_pkey_alloc) is not really implemented: dummy implementation: a0048092c0035fd6
[I] Syscall pkey_free (__arm64_sys_pkey_free) is not really implemented: dummy implementation: a0048092c0035fd6
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v6.5 0xffff8000803a3da4 0xffff8000803a3fe0 0xffff8000803a40ac 0xffff8000803a43f0 0xffff8000803a454c 0xffff80008036e0ac 0xffff80008036e0e0 0xffff80008036e114 0xffff80008036e554 0xffff80008036e580 0xffff80008036e5ac 0xffff80008036e678 0xffff80008036e6a4 0xffff80008036e6d0 0xffff80008036e790 0xffff80008036e7b8 0xffff80008036e7e0 0xffff80008037fe14 0xffff80008039d8b4 0xffff800080399b98 0xffff80008039a7a8 0xffff80008039a978 0xffff8000803619fc 0xffff800080361928 0xffff800080350320 0xffff800080393d54 0xffff800080393d9c 0xffff8000803941d0 0xffff800080351ed0 0xffff80008059bbc0 0xffff80008059be84 0xffff8000803aa768 0xffff80008034db34 0xffff80008034dd80 0xffff80008034e360 0xffff80008034e5cc 0xffff80008034e950 0xffff80008034ef9c 0xffff8000803662f8 0xffff800080368c68 0xffff800080369614 0xffff800080381334 0xffff80008038137c 0xffff800080334934 0xffff800080334ac8 0xffff800080334bbc 0xffff800080334bec 0xffff800080334c7c 0xffff800080334d74 0xffff800080334e44 0xffff800080335210 0xffff8000803352c0 0xffff800080335650 0xffff800080335898 0xffff800080335e7c 0xffff800080336218 0xffff800080336298 0xffff8000803457c4 0xffff8000803c4548 0xffff800080352fa4 0xffff800080337c14 0xffff800080338d18 0xffff800080338e44 0xffff800080339044 0xffff800080339070 0xffff800080338f2c 0xffff800080339018 0xffff80008033909c 0xffff800080339114 0xffff8000803393c4 0xffff800080354ff8 0xffff800080355358 0xffff80008039b874 0xffff80008037db78 0xffff80008037dba4 0xffff80008037e1a0 0xffff800080340278 0xffff800080340224 0xffff800080340250 0xffff80008037e6f0 0xffff80008037e814 0xffff80008037e83c 0xffff80008037ea20 0xffff80008039c964 0xffff80008039cae8 0xffff80008039cba4 0xffff80008037f004 0xffff8000801686f4 0xffff8000800a451c 0xffff8000800a471c 0xffff800080020df8 0xffff80008009d47c 0xffff80008009d524 0xffff80008009d56c 0xffff8000800934e4 0xffff8000800958b4 0xffff800080160c80 0xffff8000801609a8 0xffff8000801609cc 0xffff80008014be84 0xffff800080158a38 0xffff800080158c00 0xffff80008016acd8 0xffff800080140268 0xffff80008014065c 0xffff800080154d10 0xffff800080154eb4 0xffff800080154fcc 0xffff800080155058 0xffff80008015520c 0xffff800080155480 0xffff800080155560 0xffff8000801556f4 0xffff800080155ab8 0xffff80008010bf1c 0xffff8000800a6014 0xffff8000800d4cb8 0xffff8000800d4c80 0xffff8000800d50c0 0xffff8000800d5144 0xffff8000800d8494 0xffff8000800d55b4 0xffff8000800d56b0 0xffff8000800d5730 0xffff8000800d5774 0xffff8000800d57b4 0xffff8000800aa65c 0xffff8000800adf54 0xffff8000800ae43c 0xffff8000800ae3fc 0xffff8000800aea3c 0xffff8000800afaac 0xffff8000800af188 0xffff8000800aa970 0xffff8000800aabd8 0xffff8000800adb54 0xffff8000800ae474 0xffff80008001f060 0xffff8000800b1050 0xffff8000800b12fc 0xffff8000800c86b0 0xffff8000800b1760 0xffff8000800b18a4 0xffff8000800b1bac 0xffff8000800b1d0c 0xffff8000800b21bc 0xffff8000800b21e8 0xffff8000800b2798 0xffff8000800b27c4 0xffff8000800b2a04 0xffff8000800b2b14 0xffff8000800b2c90 0xffff8000800b2ebc 0xffff8000800b3044 0xffff8000800b30fc 0xffff8000800b3270 0xffff8000800cabe0 0xffff8000800cad7c 0xffff8000800b3290 0xffff8000800b32b0 0xffff8000800b3564 0xffff8000800b36c8 0xffff8000800b3cbc 0xffff8000800b4250 0xffff8000800b42a0 0xffff8000800b42e0 0xffff8000800b4bc4 0xffff800080145934 0xffff800080145b8c 0xffff80008014603c 0xffff8000800b2b34 0xffff8000800b2b8c 0xffff8000800b2bd0 0xffff8000800b2c00 0xffff8000800b2c30 0xffff8000800b2c60 0xffff8000800b2b60 0xffff8000800b4cbc 0xffff800080547dd4 0xffff800080547ebc 0xffff800080548018 0xffff8000805480d8 0xffff800080548198 0xffff800080548268 0xffff80008053dbf0 0xffff80008053dc6c 0xffff80008053de80 0xffff80008053dda4 0xffff800080540d74 0xffff800080540e08 0xffff80008054200c 0xffff80008054220c 0xffff800080544894 0xffff800080544918 0xffff800080544eac 0xffff8000805451c4 0xffff800080d2db2c 0xffff800080d2de24 0xffff800080d2df38 0xffff800080d2e010 0xffff800080d2e2d8 0xffff800080d2e458 0xffff800080d2e568 0xffff800080d2e67c 0xffff800080d2e83c 0xffff800080d2ea40 0xffff800080d2ec40 0xffff800080d2ee64 0xffff800080d2ef58 0xffff800080d2f7a8 0xffff800080d2fbc8 0xffff80008026eb24 0xffff8000802b6e28 0xffff8000802b5ed8 0xffff8000802bca30 0xffff80008054d5f8 0xffff80008054d848 0xffff80008054f828 0xffff800080095394 0xffff8000803435a0 0xffff800080020db4 0xffff800080268b18 0xffff8000802e31b4 0xffff8000802e24a4 0xffff8000802baf60 0xffff8000802bcac0 0xffff8000802b1b00 0xffff8000802b1b7c 0xffff8000802b1c64 0xffff8000802b1e38 0xffff8000802afcc4 0xffff8000802db4b4 0xffff8000802b8494 0xffff8000802f4750 0xffff8000802f22fc 0xffff8000802f1fb4 0xffff8000802f2068 0xffff80008030b488 0xffff8000800ae5e0 0xffff800080250bb8 0xffff800080d2e2a8 0xffff800080d2fd40 0xffff80008009d9a0 0xffff8000800b399c 0xffff800080397e44 0xffff800080398138 0xffff8000803b61bc 0xffff8000803b64b8 0xffff8000801556cc 0xffff80008037e774 0xffff8000800c4808 0xffff800080d2fa38 0xffff8000802cb65c 0xffff8000802cb690 0xffff800080143198 0xffff800080140290 0xffff8000800d4ce8 0xffff8000800d5268 0xffff80008034ef20 0xffff80008019884c 0xffff80008092e324 0xffff80008033248c 0xffff8000801e4568 0xffff8000803435f4 0xffff8000803a0d50 0xffff8000800f9adc 0xffff8000802b1b28 0xffff800080339e64 0xffff8000803390c8 0xffff800080339140 0xffff800080340424 0xffff8000803a461c 0xffff80008025b770 0xffff80008016b454 0xffff8000800ae160 0xffff8000805c23b4 0xffff8000805c1900 0xffff8000805c23dc 0xffff8000803677c0 0xffff800080369254 0xffff800080383d58 0xffff800080384028 0xffff800080368f18 0xffff800080383ea4 0xffff8000800bf158 0xffff8000800953c0 0xffff800080336268 0xffff800080335f20 0xffff8000800bf284 0xffff800080334c1c 0xffff8000802db4e8 0xffff80008039aa88 0xffff800080369b0c 0xffff8000803c4a34 0xffff80008055cbc8 0xffff80008055cd44 0xffff80008055cf68 0xffff80008032fe34 0xffff800080268464 0xffff800080160e10 0xffff8000802f4184 0xffff800080263c80
[D] Location needs adjustment (bad): restart_syscall (__arm64_sys_restart_syscall) -> arch/arm64/include/asm/current.h:15
[D] Location needs adjustment (bad): umask (__arm64_sys_umask) -> arch/arm64/include/asm/current.h:15
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v6.5 0xffff8000800aa683 0xffff8000800b42cf
[D] Running command: rg --line-number --glob '!Documentation/*' --glob '!drivers/*' --glob '!lib/*' --glob '!samples/*' --glob '!sound/*' --glob '!tools/*' --glob '!usr/*' --glob '!arch/*' --glob arch/arm64 --glob '*.c' '\bSYSCALL_DEFINE\d\s*\(\s*\w+'
[I] Kernel has ftrace syscall metadata from FTRACE_SYSCALLS=y
Found 302 implemented syscalls

