[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v5.18 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v5.18
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v5.18
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v5.18
Detected kernel version: 5.18.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff800008e96058, type=OBJECT, size=0xe18)
[D] compat_sys_call_table[426]: Symbol("__arm64_sys_io_uring_enter" at 0xffff80000838e0a4, type=FUNC, size=0x95c)
[D] compat_sys_call_table[427]: Symbol("__arm64_sys_io_uring_register" at 0xffff80000838ea30, type=FUNC, size=0xe9c)
[D] compat_sys_call_table[428]: Symbol("__arm64_sys_open_tree" at 0xffff80000833d284, type=FUNC, size=0x360)
[D] compat_sys_call_table[429]: Symbol("__arm64_sys_move_mount" at 0xffff80000833ed90, type=FUNC, size=0x33c)
[D] compat_sys_call_table[430]: Symbol("__arm64_sys_fsopen" at 0xffff800008359ed0, type=FUNC, size=0x160)
[D] compat_sys_call_table[431]: Symbol("__arm64_sys_fsconfig" at 0xffff80000835a1d0, type=FUNC, size=0x528)
[D] compat_sys_call_table[432]: Symbol("__arm64_sys_fsmount" at 0xffff80000833ea50, type=FUNC, size=0x33c)
[D] compat_sys_call_table[433]: Symbol("__arm64_sys_fspick" at 0xffff80000835a030, type=FUNC, size=0x19c)
[D] compat_sys_call_table[434]: Symbol("__arm64_sys_pidfd_open" at 0xffff8000080ba190, type=FUNC, size=0xe8)
[D] compat_sys_call_table[435]: Symbol("__arm64_sys_clone3" at 0xffff800008090a90, type=FUNC, size=0x20)
[D] compat_sys_call_table[436]: Symbol("__arm64_sys_close_range" at 0xffff80000830a820, type=FUNC, size=0x34)
[D] compat_sys_call_table[437]: Symbol("__arm64_sys_openat2" at 0xffff80000830a4b0, type=FUNC, size=0x154)
[D] compat_sys_call_table[438]: Symbol("__arm64_sys_pidfd_getfd" at 0xffff8000080ba280, type=FUNC, size=0x210)
[D] compat_sys_call_table[439]: Symbol("__arm64_sys_faccessat2" at 0xffff800008309010, type=FUNC, size=0x34)
[D] compat_sys_call_table[440]: Symbol("__arm64_sys_process_madvise" at 0xffff8000082b50b0, type=FUNC, size=0x34)
[D] compat_sys_call_table[441]: Symbol("__arm64_compat_sys_epoll_pwait2" at 0xffff800008371b70, type=FUNC, size=0xd4)
[D] compat_sys_call_table[442]: Symbol("__arm64_sys_mount_setattr" at 0xffff80000833f640, type=FUNC, size=0x848)
[D] compat_sys_call_table[443]: Symbol("__arm64_sys_quotactl_fd" at 0xffff8000083b2734, type=FUNC, size=0x1f4)
[D] compat_sys_call_table[444]: Symbol("__arm64_sys_landlock_create_ruleset" at 0xffff80000854b0f4, type=FUNC, size=0x18c)
[D] compat_sys_call_table[445]: Symbol("__arm64_sys_landlock_add_rule" at 0xffff80000854b280, type=FUNC, size=0x24c)
[D] compat_sys_call_table[446]: Symbol("__arm64_sys_landlock_restrict_self" at 0xffff80000854b4d0, type=FUNC, size=0x130)
[D] compat_sys_call_table[447]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[448]: Symbol("__arm64_sys_process_mrelease" at 0xffff800008247610, type=FUNC, size=0x284)
[D] compat_sys_call_table[449]: Symbol("__arm64_sys_futex_waitv" at 0xffff80000814fb84, type=FUNC, size=0x38)
[D] compat_sys_call_table[450]: Symbol("__arm64_sys_set_mempolicy_home_node" at 0xffff8000082cd1b4, type=FUNC, size=0x1a4)
[I] Common syscall symbol prefixes: __arm64_compat_sys_, __arm64_compat_, __arm64_sys_, __arm64_, __
[I] 52 entries point to __arm64_sys_ni_syscall
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v5.18 0xffff8000080a57f0 0xffff800008098854 0xffff800008090980 0xffff80000830d5d4 0xffff80000830d704 0xffff80000830a604 0xffff80000830a7d0 0xffff80000830a750 0xffff8000083235b0 0xffff800008322fb0 0xffff800008318040 0xffff800008309080 0xffff800008322760 0xffff800008309714 0xffff800008154424 0xffff80000830caa0 0xffff8000080ae494 0xffff80000833e7a4 0xffff800008154570 0xffff800008154e14 0xffff8000080a1ff0 0xffff8000080ab1f0 0xffff800008309044 0xffff8000080d1f10 0xffff800008354430 0xffff8000080a9470 0xffff800008323bb0 0xffff8000083229d0 0xffff800008322bf4 0xffff8000083372f4 0xffff80000831a340 0xffff8000080ae6d0 0xffff800008293c44 0xffff800008154500 0xffff800008154ef0 0xffff800008154e80 0xffff800008154f60 0xffff80000815d7e0 0xffff80000833c054 0xffff800008326fd0 0xffff8000083251b0 0xffff8000080ae850 0xffff8000080afd40 0xffff800008309250 0xffff800008357540 0xffff800008337250 0xffff8000080ae4f0 0xffff8000080aea60 0xffff8000080aec20 0xffff8000080aad44 0xffff800008154530 0xffff8000081544c4 0xffff8000080ab3a0 0xffff8000080aa584 0xffff8000080aec60 0xffff8000080af1c0 0xffff8000080afd10 0xffff800008133d10 0xffff800008133ec4 0xffff800008154ac0 0xffff800008154c40 0xffff800008323210 0xffff800008314cd4 0xffff800008317124 0xffff8000082bc270 0xffff8000080c3fe0 0xffff800008292c10 0xffff800008308d24 0xffff800008308ed0 0xffff800008309630 0xffff800008154480 0xffff8000080acd30 0xffff8000080aca80 0xffff800008357340 0xffff800008357360 0xffff800008104f30 0xffff800008147330 0xffff800008147050 0xffff800008314ef0 0xffff800008314f10 0xffff800008314f60 0xffff80000830a854 0xffff800008098e14 0xffff8000082bb5e0 0xffff8000080b06b0 0xffff800008354550 0xffff80000802b084 0xffff800008090a60 0xffff8000080aef40 0xffff8000080aec40 0xffff8000081343f0 0xffff8000082968e0 0xffff800008160e30 0xffff80000815b610 0xffff800008158484 0xffff8000083b23a0 0xffff8000080ae9e0 0xffff800008309180 0xffff800008337980 0xffff800008091580 0xffff800008154a60 0xffff800008154a90 0xffff80000830cb90 0xffff800008328420 0xffff80000832a850 0xffff8000083985e0 0xffff800008298660 0xffff80000830d910 0xffff80000830d940 0xffff8000080aeaa0 0xffff800008354580 0xffff80000828eff0 0xffff80000828f080 0xffff80000828f160 0xffff80000828f300 0xffff8000080d2420 0xffff8000080d28e4 0xffff8000080d23e0 0xffff8000080d2860 0xffff8000080d32c0 0xffff8000080d3350 0xffff8000080d33a4 0xffff8000080d3470 0xffff80000813a214 0xffff800008297f50 0xffff8000081545a0 0xffff8000081545f0 0xffff80000832a5e0 0xffff800008154800 0xffff800008154850 0xffff8000080afdb0 0xffff80000802b140 0xffff8000080aa950 0xffff8000080a5d70 0xffff8000080a5fa0 0xffff8000080a9390 0xffff8000080a9a70 0xffff8000080ab320 0xffff800008029360 0xffff8000080293a0 0xffff8000081543d0 0xffff800008355c40 0xffff80000809f440 0xffff80000809f660 0xffff8000080aa334 0xffff80000830de50 0xffff8000080909f0 0xffff8000080af2b4 0xffff800008029330 0xffff8000080293e0 0xffff800008029414 0xffff800008314d10 0xffff800008314d30 0xffff800008314d50 0xffff800008309b70 0xffff8000080ae534 0xffff8000080ae594 0xffff8000080ae564 0xffff8000080ae5c4 0xffff8000080ad5f4 0xffff8000080ad1a0 0xffff8000080c6eb0 0xffff8000080c7050 0xffff800008309d50 0xffff8000080adb84 0xffff8000080adbb4 0xffff8000080ae0a0 0xffff8000080ae0d0 0xffff800008309b30 0xffff8000080ad760 0xffff8000080ad2f0 0xffff8000080ae364 0xffff8000080ae474 0xffff8000083281e0 0xffff80000833f150 0xffff80000828d284 0xffff8000082b5074 0xffff800008325180 0xffff8000080ae4c0 0xffff800008029450 0xffff800008344224 0xffff800008344260 0xffff8000083442a0 0xffff800008344390 0xffff8000083443c0 0xffff8000083443f0 0xffff8000083444c0 0xffff8000083444f0 0xffff800008344520 0xffff8000083445e0 0xffff800008344610 0xffff800008344640 0xffff8000080a9934 0xffff80000830dcf0 0xffff80000814fd60 0xffff800008161480 0xffff8000081616c0 0xffff80000837b410 0xffff80000837b570 0xffff80000837bdc0 0xffff80000837b7e4 0xffff80000837b9b4 0xffff800008098910 0xffff8000080beb84 0xffff800008370a44 0xffff800008371690 0xffff800008371784 0xffff800008294980 0xffff800008090150 0xffff800008143420 0xffff800008143770 0xffff800008143570 0xffff800008143600 0xffff800008143850 0xffff800008143da0 0xffff800008143e80 0xffff800008143f90 0xffff8000081441c0 0xffff8000080292b0 0xffff8000080292f0 0xffff8000080a98f0 0xffff8000083550f0 0xffff800008029484 0xffff8000080bfb44 0xffff8000086d88d0 0xffff8000086d8c34 0xffff800008535f90 0xffff800008535b70 0xffff800008536190 0xffff800008536250 0xffff8000085360b0 0xffff800008536160 0xffff800008098e50 0xffff800008cae550 0xffff800008cae990 0xffff800008caef70 0xffff800008caea70 0xffff800008caedd4 0xffff800008caf084 0xffff800008caf1a0 0xffff800008cae874 0xffff800008caf380 0xffff800008caf340 0xffff800008d2e360 0xffff800008d2e3a4 0xffff800008cafaa0 0xffff800008caf750 0xffff800008caf9a0 0xffff800008d2e2b0 0xffff800008d2e324 0xffff80000852fc70 0xffff80000852e7a0 0xffff80000852ea34 0xffff80000852b740 0xffff80000852b810 0xffff80000852b4c0 0xffff80000852b5d0 0xffff800008532b34 0xffff800008532d60 0xffff8000085324a4 0xffff8000085325c0 0xffff80000853b5e4 0xffff80000853b850 0xffff800008540960 0xffff80000852fbc0 0xffff8000085881c0 0xffff8000085884d4 0xffff80000836afe4 0xffff80000836b010 0xffff80000836b3e0 0xffff8000082cd360 0xffff8000082cb380 0xffff8000082cb054 0xffff80000830a6a4 0xffff800008322950 0xffff800008322700 0xffff800008309af0 0xffff8000083550c4 0xffff800008314d70 0xffff800008322f30 0xffff800008323b40 0xffff800008323530 0xffff8000083231a0 0xffff800008314ca0 0xffff8000083096e0 0xffff800008308fd4 0xffff80000832aac0 0xffff80000832ac30 0xffff800008090f80 0xffff80000814fbc0 0xffff80000814fbf4 0xffff800008353850 0xffff8000080294d0 0xffff800008353e60 0xffff800008353820 0xffff8000082e24f4 0xffff8000080b0570 0xffff800008371a60 0xffff80000815fc90 0xffff800008354ff0 0xffff800008372a60 0xffff800008373954 0xffff8000083749d0 0xffff800008029520 0xffff800008373c30 0xffff800008373cf0 0xffff8000083729d0 0xffff8000083749a0 0xffff800008370940 0xffff800008337214 0xffff80000831a310 0xffff80000836afc0 0xffff80000830da70 0xffff80000830db10 0xffff8000080a9c34 0xffff8000082306f0 0xffff800008d2e424 0xffff800008caeda0 0xffff80000836edf0 0xffff80000836f120 0xffff8000080af3e0 0xffff8000083a4570 0xffff8000083a48a0 0xffff800008143f64 0xffff8000083544b0 0xffff800008d2e2e4 0xffff8000080c0ad0 0xffff8000082a59b0 0xffff8000082a59f0 0xffff800008130d20 0xffff80000815b640 0xffff8000080d2454 0xffff8000080d2a20 0xffff800008323ac0 0xffff80000818ca94 0xffff8000088dd714 0xffff800008306e50 0xffff8000081d7090 0xffff800008318094 0xffff800008377b20 0xffff8000080f3df0 0xffff80000828f020 0xffff80000830e7c0 0xffff80000830dab0 0xffff80000830db50 0xffff8000080bfab4 0xffff8000080bfad0 0xffff8000080bfae4 0xffff800008314e60 0xffff80000823aef0 0xffff80000837bea0 0xffff8000082cb110 0xffff8000081604a4 0xffff800008143b10 0xffff800008143a30 0xffff800008143c80 0xffff800008143cb0 0xffff800008144080 0xffff8000081434e0 0xffff800008143690 0xffff800008373ba0 0xffff800008373ae0 0xffff800008354de0 0xffff80000832a950 0xffff80000832ad60 0xffff80000837bc00 0xffff800008d2e3e4 0xffff800008535d00 0xffff800008535dc0 0xffff80000852fa60 0xffff8000080a92b0 0xffff80000814f9f4 0xffff8000080d33f4 0xffff8000080a9680 0xffff80000838ea00 0xffff80000838e0a4 0xffff80000838ea30 0xffff80000833d284 0xffff80000833ed90 0xffff800008359ed0 0xffff80000835a1d0 0xffff80000833ea50 0xffff80000835a030 0xffff8000080ba190 0xffff800008090a90 0xffff80000830a820 0xffff80000830a4b0 0xffff8000080ba280 0xffff800008309010 0xffff8000082b50b0 0xffff800008371b70 0xffff80000833f640 0xffff8000083b2734 0xffff80000854b0f4 0xffff80000854b280 0xffff80000854b4d0 0xffff800008247610 0xffff80000814fb84 0xffff8000082cd1b4
[D] Location needs adjustment (bad): lookup_dcookie (__arm64_compat_sys_lookup_dcookie) -> kernel/sys_ni.c:61
[D] Location needs adjustment (bad): pciconfig_iobase (__arm64_sys_pciconfig_iobase) -> kernel/sys_ni.c:369
[D] Location needs adjustment (bad): pkey_mprotect (__arm64_sys_pkey_mprotect) -> kernel/sys_ni.c:355
[D] Location needs adjustment (bad): pkey_alloc (__arm64_sys_pkey_alloc) -> kernel/sys_ni.c:356
[D] Location needs adjustment (bad): pkey_free (__arm64_sys_pkey_free) -> kernel/sys_ni.c:357
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v5.18 0xffff8000080beb97 0xffff8000080bfb57 0xffff8000080bfae3 0xffff8000080bfaf7 0xffff8000080bfac7
[D] Location needs full-range adjustment (bad): lookup_dcookie (__arm64_compat_sys_lookup_dcookie+0x13) -> kernel/sys_ni.c:61
[D] Location needs full-range adjustment (bad): pciconfig_iobase (__arm64_sys_pciconfig_iobase+0x13) -> kernel/sys_ni.c:369
[D] Location needs full-range adjustment (bad): pkey_alloc (__arm64_sys_pkey_alloc+0x13) -> kernel/sys_ni.c:356
[D] Location needs full-range adjustment (bad): pkey_free (__arm64_sys_pkey_free+0x13) -> kernel/sys_ni.c:357
[D] Location needs full-range adjustment (bad): pkey_mprotect (__arm64_sys_pkey_mprotect+0x13) -> kernel/sys_ni.c:355
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v5.18 0xffff8000080beb85 0xffff8000080beb86 0xffff8000080beb87 0xffff8000080beb88 0xffff8000080beb89 0xffff8000080beb8a 0xffff8000080beb8b 0xffff8000080beb8c 0xffff8000080beb8d 0xffff8000080beb8e 0xffff8000080beb8f 0xffff8000080beb90 0xffff8000080beb91 0xffff8000080beb92 0xffff8000080beb93 0xffff8000080beb94 0xffff8000080beb95
[D] Location needs grepping (bad): lookup_dcookie (__arm64_compat_sys_lookup_dcookie) -> kernel/sys_ni.c:61
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v5.18 0xffff8000080bfb45 0xffff8000080bfb46 0xffff8000080bfb47 0xffff8000080bfb48 0xffff8000080bfb49 0xffff8000080bfb4a 0xffff8000080bfb4b 0xffff8000080bfb4c 0xffff8000080bfb4d 0xffff8000080bfb4e 0xffff8000080bfb4f 0xffff8000080bfb50 0xffff8000080bfb51 0xffff8000080bfb52 0xffff8000080bfb53 0xffff8000080bfb54 0xffff8000080bfb55
[D] Location needs grepping (bad): pciconfig_iobase (__arm64_sys_pciconfig_iobase) -> kernel/sys_ni.c:369
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v5.18 0xffff8000080bfad1 0xffff8000080bfad2 0xffff8000080bfad3 0xffff8000080bfad4 0xffff8000080bfad5 0xffff8000080bfad6 0xffff8000080bfad7 0xffff8000080bfad8 0xffff8000080bfad9 0xffff8000080bfada 0xffff8000080bfadb 0xffff8000080bfadc 0xffff8000080bfadd 0xffff8000080bfade 0xffff8000080bfadf 0xffff8000080bfae0 0xffff8000080bfae1
[D] Location needs grepping (bad): pkey_alloc (__arm64_sys_pkey_alloc) -> kernel/sys_ni.c:356
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v5.18 0xffff8000080bfae5 0xffff8000080bfae6 0xffff8000080bfae7 0xffff8000080bfae8 0xffff8000080bfae9 0xffff8000080bfaea 0xffff8000080bfaeb 0xffff8000080bfaec 0xffff8000080bfaed 0xffff8000080bfaee 0xffff8000080bfaef 0xffff8000080bfaf0 0xffff8000080bfaf1 0xffff8000080bfaf2 0xffff8000080bfaf3 0xffff8000080bfaf4 0xffff8000080bfaf5
[D] Location needs grepping (bad): pkey_free (__arm64_sys_pkey_free) -> kernel/sys_ni.c:357
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v5.18 0xffff8000080bfab5 0xffff8000080bfab6 0xffff8000080bfab7 0xffff8000080bfab8 0xffff8000080bfab9 0xffff8000080bfaba 0xffff8000080bfabb 0xffff8000080bfabc 0xffff8000080bfabd 0xffff8000080bfabe 0xffff8000080bfabf 0xffff8000080bfac0 0xffff8000080bfac1 0xffff8000080bfac2 0xffff8000080bfac3 0xffff8000080bfac4 0xffff8000080bfac5
[D] Location needs grepping (bad): pkey_mprotect (__arm64_sys_pkey_mprotect) -> kernel/sys_ni.c:355
[D] Running command: rg --line-number --glob '!Documentation/*' --glob '!drivers/*' --glob '!lib/*' --glob '!samples/*' --glob '!sound/*' --glob '!tools/*' --glob '!usr/*' --glob '!arch/*' --glob arch/arm64 --glob '*.c' '\b(COMPAT_)?SYSCALL(32)?_DEFINE\d\s*\(\s*\w+'
[I] Location could not be found through grepping: lookup_dcookie (orig name lookup_dcookie)
[I] Location could not be found through grepping: pciconfig_iobase (orig name pciconfig_iobase)
[W] Location found through grepping: pkey_alloc -> mm/mprotect.c:687
[W] Location found through grepping: pkey_free -> mm/mprotect.c:717
[W] Location found through grepping: pkey_mprotect -> mm/mprotect.c:681
[I] Kernel has ftrace syscall metadata from FTRACE_SYSCALLS=y
[D] Signature NOT found in ftrace metadata: lookup_dcookie
[D] Signature NOT found in ftrace metadata: pciconfig_iobase
[W] Assuming lookup_dcookie is not implemented as it points to kernel/sys_ni.c:61 after adjustments
[W] Assuming pciconfig_iobase is not implemented as it points to kernel/sys_ni.c:369 after adjustments
Found 397 implemented syscalls
Found 3 definition locations through grepping

