[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v6.13 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.13
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.13
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.13
Detected kernel version: 6.13.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff8000810781d8, type=OBJECT, size=0xe98)
[D] compat_sys_call_table[424]: Symbol("__arm64_sys_pidfd_send_signal" at 0xffff8000800dcce0, type=FUNC, size=0x2d4)
[D] compat_sys_call_table[425]: Symbol("__arm64_sys_io_uring_setup" at 0xffff8000806561e0, type=FUNC, size=0x94)
[D] compat_sys_call_table[426]: Symbol("__arm64_sys_io_uring_enter" at 0xffff8000806550a0, type=FUNC, size=0x688)
[D] compat_sys_call_table[427]: Symbol("__arm64_sys_io_uring_register" at 0xffff800080669528, type=FUNC, size=0xee8)
[D] compat_sys_call_table[428]: Symbol("__arm64_sys_open_tree" at 0xffff8000803df840, type=FUNC, size=0x34c)
[D] compat_sys_call_table[429]: Symbol("__arm64_sys_move_mount" at 0xffff8000803e1300, type=FUNC, size=0x330)
[D] compat_sys_call_table[430]: Symbol("__arm64_sys_fsopen" at 0xffff8000803ffa20, type=FUNC, size=0x124)
[D] compat_sys_call_table[431]: Symbol("__arm64_sys_fsconfig" at 0xffff8000803ffcd0, type=FUNC, size=0x57c)
[D] compat_sys_call_table[432]: Symbol("__arm64_sys_fsmount" at 0xffff8000803e0fcc, type=FUNC, size=0x328)
[D] compat_sys_call_table[433]: Symbol("__arm64_sys_fspick" at 0xffff8000803ffb44, type=FUNC, size=0x18c)
[D] compat_sys_call_table[434]: Symbol("__arm64_sys_pidfd_open" at 0xffff8000800ef9ac, type=FUNC, size=0x138)
[D] compat_sys_call_table[435]: Symbol("__arm64_sys_clone3" at 0xffff8000800c340c, type=FUNC, size=0x20)
[D] compat_sys_call_table[436]: Symbol("__arm64_sys_close_range" at 0xffff8000803d7cb0, type=FUNC, size=0x214)
[D] compat_sys_call_table[437]: Symbol("__arm64_sys_openat2" at 0xffff8000803a8a60, type=FUNC, size=0x150)
[D] compat_sys_call_table[438]: Symbol("__arm64_sys_pidfd_getfd" at 0xffff8000800efae4, type=FUNC, size=0x238)
[D] compat_sys_call_table[439]: Symbol("__arm64_sys_faccessat2" at 0xffff8000803a7340, type=FUNC, size=0x30)
[D] compat_sys_call_table[440]: Symbol("__arm64_sys_process_madvise" at 0xffff80008034e560, type=FUNC, size=0x30)
[D] compat_sys_call_table[441]: Symbol("__arm64_compat_sys_epoll_pwait2" at 0xffff8000804187a0, type=FUNC, size=0xdc)
[D] compat_sys_call_table[442]: Symbol("__arm64_sys_mount_setattr" at 0xffff8000803e1bc0, type=FUNC, size=0x7a4)
[D] compat_sys_call_table[443]: Symbol("__arm64_sys_quotactl_fd" at 0xffff8000804455cc, type=FUNC, size=0x224)
[D] compat_sys_call_table[444]: Symbol("__arm64_sys_landlock_create_ruleset" at 0xffff8000805eb444, type=FUNC, size=0x224)
[D] compat_sys_call_table[445]: Symbol("__arm64_sys_landlock_add_rule" at 0xffff8000805eb668, type=FUNC, size=0x2ec)
[D] compat_sys_call_table[446]: Symbol("__arm64_sys_landlock_restrict_self" at 0xffff8000805eb960, type=FUNC, size=0x158)
[D] compat_sys_call_table[447]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[448]: Symbol("__arm64_sys_process_mrelease" at 0xffff8000802bc650, type=FUNC, size=0x2bc)
[D] compat_sys_call_table[449]: Symbol("__arm64_sys_futex_waitv" at 0xffff8000801a4a80, type=FUNC, size=0x17c)
[D] compat_sys_call_table[450]: Symbol("__arm64_sys_set_mempolicy_home_node" at 0xffff800080369fc0, type=FUNC, size=0x268)
[D] compat_sys_call_table[451]: Symbol("__arm64_sys_cachestat" at 0xffff8000802b7da0, type=FUNC, size=0x1b8)
[D] compat_sys_call_table[452]: Symbol("__arm64_sys_fchmodat2" at 0xffff8000803a7948, type=FUNC, size=0x104)
[D] compat_sys_call_table[453]: Symbol("__arm64_sys_map_shadow_stack" at 0xffff8000800587a0, type=FUNC, size=0x11c)
[D] compat_sys_call_table[454]: Symbol("__arm64_sys_futex_wake" at 0xffff8000801a4c00, type=FUNC, size=0x84)
[D] compat_sys_call_table[455]: Symbol("__arm64_sys_futex_wait" at 0xffff8000801a4c84, type=FUNC, size=0x148)
[D] compat_sys_call_table[456]: Symbol("__arm64_sys_futex_requeue" at 0xffff8000801a4dcc, type=FUNC, size=0x30)
[D] compat_sys_call_table[457]: Symbol("__arm64_sys_statmount" at 0xffff8000803e23ac, type=FUNC, size=0x7e4)
[D] compat_sys_call_table[458]: Symbol("__arm64_sys_listmount" at 0xffff8000803e2b90, type=FUNC, size=0x538)
[D] compat_sys_call_table[459]: Symbol("__arm64_sys_lsm_get_self_attr" at 0xffff8000805e0780, type=FUNC, size=0x30)
[D] compat_sys_call_table[460]: Symbol("__arm64_sys_lsm_set_self_attr" at 0xffff8000805e0740, type=FUNC, size=0x34)
[D] compat_sys_call_table[461]: Symbol("__arm64_sys_lsm_list_modules" at 0xffff8000805e07b0, type=FUNC, size=0x120)
[D] compat_sys_call_table[462]: Symbol("__arm64_sys_mseal" at 0xffff80008032e208, type=FUNC, size=0x2c)
[D] compat_sys_call_table[463]: Symbol("__arm64_sys_setxattrat" at 0xffff8000803e7540, type=FUNC, size=0x12c)
[D] compat_sys_call_table[464]: Symbol("__arm64_sys_getxattrat" at 0xffff8000803e79f0, type=FUNC, size=0x130)
[D] compat_sys_call_table[465]: Symbol("__arm64_sys_listxattrat" at 0xffff8000803e7bc0, type=FUNC, size=0x30)
[D] compat_sys_call_table[466]: Symbol("__arm64_sys_removexattrat" at 0xffff8000803e7c80, type=FUNC, size=0x34)
[I] Common syscall symbol prefixes: __arm64_compat_sys_, __arm64_compat_, __arm64_sys_, __arm64_, __
[I] 53 entries point to __arm64_sys_ni_syscall
[I] Syscall pciconfig_iobase (__arm64_sys_pciconfig_iobase) is not really implemented: dummy implementation: a0048092c0035fd6
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v6.13 0xffff8000800d8e28 0xffff8000800ca7c8 0xffff8000800c32e4 0xffff8000803abfc8 0xffff8000803ac100 0xffff8000803a8bb0 0xffff8000803a8d90 0xffff8000803a8d10 0xffff8000803c36e0 0xffff8000803c3060 0xffff8000803b7844 0xffff8000803a73a0 0xffff8000803c27a0 0xffff8000803a7b24 0xffff8000801aaa70 0xffff8000803aae60 0xffff8000800e1ac0 0xffff8000803e0d44 0xffff8000801aabac 0xffff8000801ab380 0xffff8000800d504c 0xffff8000800de8e4 0xffff8000803a7370 0xffff800080123f4c 0xffff8000803f9960 0xffff8000800dcac0 0xffff8000803c3e24 0xffff8000803c2a08 0xffff8000803c2c44 0xffff8000803d87c8 0xffff8000803b99e0 0xffff8000800e1d00 0xffff800080311460 0xffff8000801aab44 0xffff8000801ab460 0xffff8000801ab3ec 0xffff8000801ab4cc 0xffff8000801ad010 0xffff8000803de128 0xffff8000803c71e0 0xffff8000803c5420 0xffff8000800e1e70 0xffff8000800e32a8 0xffff8000803a756c 0xffff8000803fcc20 0xffff8000803d86d0 0xffff8000800e1b20 0xffff8000800e2080 0xffff8000800e2240 0xffff8000800de520 0xffff8000801aab70 0xffff8000801aab08 0xffff8000800dea88 0xffff8000800dde20 0xffff8000800e2280 0xffff8000800e27c8 0xffff8000800e3280 0xffff800080184668 0xffff8000801847c0 0xffff8000801ab080 0xffff8000801ab1e0 0xffff8000803c32f0 0xffff8000803b4340 0xffff8000803b68d0 0xffff8000803577e8 0xffff8000800f980c 0xffff8000803107a0 0xffff8000803a6f04 0xffff8000803a718c 0xffff8000803a7888 0xffff8000801aaac0 0xffff8000800e022c 0xffff8000800dff60 0xffff8000803fca20 0xffff8000803fca40 0xffff8000801405e0 0xffff8000801991e0 0xffff800080198e2c 0xffff8000803b46a4 0xffff8000803b46c4 0xffff8000803b4710 0xffff8000803a8e0c 0xffff8000800cb690 0xffff800080356890 0xffff8000800e3e00 0xffff8000803f9aac 0xffff800080045a68 0xffff8000800c33e0 0xffff8000800e2544 0xffff8000800e2260 0xffff800080184c4c 0xffff800080314f08 0xffff8000801b0a00 0xffff80008017f1c0 0xffff80008017f600 0xffff8000804450e0 0xffff8000800e2000 0xffff8000803a74a0 0xffff8000803d8de0 0xffff8000800c3aec 0xffff8000801ab020 0xffff8000801ab04c 0xffff8000803aaf24 0xffff8000803c81e8 0xffff8000803ca4c4 0xffff800080428b0c 0xffff800080317560 0xffff8000803ac430 0xffff8000803ac460 0xffff8000800e20c0 0xffff8000803f9ae0 0xffff80008030da20 0xffff80008030daa0 0xffff80008030dba0 0xffff80008030dd60 0xffff800080125060 0xffff80008012554c 0xffff800080125020 0xffff8000801254cc 0xffff8000801260f0 0xffff800080126110 0xffff800080126160 0xffff800080126224 0xffff80008018b2e0 0xffff8000803174a8 0xffff8000801aabe0 0xffff8000801aac28 0xffff8000803ca248 0xffff8000801aae00 0xffff8000801aae48 0xffff8000800e3310 0xffff800080045b20 0xffff8000800de1c0 0xffff8000800d92f0 0xffff8000800d9530 0xffff8000800dc9d0 0xffff8000800dd200 0xffff8000800dea00 0xffff80008004414c 0xffff800080044180 0xffff8000801aaa20 0xffff8000803fb2c0 0xffff8000800d27b0 0xffff8000800d29c0 0xffff8000800ddc04 0xffff8000803ac8f0 0xffff8000800c3360 0xffff8000800e28ac 0xffff800080044120 0xffff8000800441c0 0xffff8000800441f0 0xffff8000803b4370 0xffff8000803b4390 0xffff8000803b43b0 0xffff8000803a7fc0 0xffff8000800e1b64 0xffff8000800e1bd0 0xffff8000800e1ba0 0xffff8000800e1c00 0xffff8000800e0ac0 0xffff8000800e06a0 0xffff8000800fbf80 0xffff8000800fc104 0xffff8000803a8140 0xffff8000800e1108 0xffff8000800e1140 0xffff8000800e1724 0xffff8000800e1750 0xffff8000803a7f80 0xffff8000800e0c20 0xffff8000800e07e0 0xffff8000800e1990 0xffff8000800e1aa0 0xffff8000803c7fc0 0xffff8000803e16a4 0xffff80008030ba68 0xffff80008034e520 0xffff8000803c53ec 0xffff8000800e1aec 0xffff800080044224 0xffff8000803e766c 0xffff8000803e76a4 0xffff8000803e76e0 0xffff8000803e7b20 0xffff8000803e7b50 0xffff8000803e7b80 0xffff8000803e7bf0 0xffff8000803e7c20 0xffff8000803e7c50 0xffff8000803e7cc0 0xffff8000803e7cf0 0xffff8000803e7d20 0xffff8000800dd06c 0xffff8000803ac7c0 0xffff8000801a4f64 0xffff8000801b0e68 0xffff8000801b100c 0xffff80008042234c 0xffff80008042244c 0xffff800080422c24 0xffff8000804226c4 0xffff800080422860 0xffff8000800ca870 0xffff800080417660 0xffff8000804182a0 0xffff800080418388 0xffff8000803107d0 0xffff8000800c156c 0xffff800080194c90 0xffff800080195060 0xffff800080194dec 0xffff800080194e88 0xffff80008019514c 0xffff800080195a00 0xffff800080195ae8 0xffff800080195c00 0xffff800080195e40 0xffff8000800440a0 0xffff8000800440e0 0xffff8000800dcfc0 0xffff8000803fa650 0xffff800080044260 0xffff8000807b6e80 0xffff8000807b7140 0xffff8000805d3608 0xffff8000805d320c 0xffff8000805d3808 0xffff8000805d38d0 0xffff8000805d3720 0xffff8000805d37e0 0xffff8000800cb6c0 0xffff800080e3efe8 0xffff800080e3f4ac 0xffff800080e3fb20 0xffff800080e3f640 0xffff800080e3f960 0xffff800080e3fc80 0xffff800080e3fdd0 0xffff800080e3f2e0 0xffff800080e3ffc8 0xffff800080e3ff90 0xffff800080ed0250 0xffff800080ed0290 0xffff800080e40528 0xffff800080e402c0 0xffff800080e403d0 0xffff800080ed01b0 0xffff800080ed0220 0xffff8000805cd1b0 0xffff8000805cbc64 0xffff8000805cbf04 0xffff8000805c8be0 0xffff8000805c8cb0 0xffff8000805c898c 0xffff8000805c8aa0 0xffff8000805cffc0 0xffff8000805d0288 0xffff8000805cf8c8 0xffff8000805cf9e0 0xffff8000805d8c00 0xffff8000805d8e60 0xffff8000805ddda0 0xffff8000805cd100 0xffff80008062fb6c 0xffff80008062fe40 0xffff800080411104 0xffff800080411128 0xffff800080411540 0xffff80008036a740 0xffff800080367b88 0xffff800080367820 0xffff8000803a8c60 0xffff8000803c2990 0xffff8000803c2720 0xffff8000803a7f40 0xffff8000803fa628 0xffff8000803b43d0 0xffff8000803c2f88 0xffff8000803c3d64 0xffff8000803c3610 0xffff8000803c3240 0xffff8000803b4308 0xffff8000803a7a4c 0xffff8000803a7304 0xffff8000803ca76c 0xffff8000803ca920 0xffff8000800c38f0 0xffff8000801a4e00 0xffff8000801a4e24 0xffff8000803f8cc0 0xffff8000800442a4 0xffff8000803f93ac 0xffff8000803f8c90 0xffff800080379e6c 0xffff8000800e3d00 0xffff800080418680 0xffff8000801afc20 0xffff8000803fa540 0xffff800080419740 0xffff80008041a540 0xffff80008041b56c 0xffff8000800442e8 0xffff80008041a8a0 0xffff80008041a980 0xffff8000804196a0 0xffff80008041b540 0xffff800080417630 0xffff8000803d86a0 0xffff8000803b99a8 0xffff8000804110e0 0xffff8000803ac588 0xffff8000803ac620 0xffff8000800dd3e0 0xffff8000802a6320 0xffff800080ed0308 0xffff800080e3f928 0xffff8000804155a4 0xffff8000804158c0 0xffff8000800e29a0 0xffff800080435ed0 0xffff8000804362c0 0xffff800080195bd0 0xffff8000803f99e4 0xffff800080ed01e0 0xffff8000800f58c0 0xffff80008032de00 0xffff80008032de40 0xffff800080182160 0xffff80008017f1e8 0xffff800080125090 0xffff800080125680 0xffff8000803c3ca0 0xffff8000801dfd6c 0xffff800080a0e780 0xffff8000803a4720 0xffff800080224ca0 0xffff8000803b78a0 0xffff80008041ee00 0xffff80008012eb50 0xffff80008030da48 0xffff8000803ad060 0xffff8000803ac5c4 0xffff8000803ac660 0xffff800080314f40 0xffff800080314f70 0xffff800080315100 0xffff8000803b45c8 0xffff8000802aebc4 0xffff800080422d0c 0xffff8000803678e8 0xffff8000801b0320 0xffff800080195768 0xffff800080195680 0xffff8000801958e0 0xffff800080195908 0xffff800080195cf0 0xffff800080194d50 0xffff800080194f68 0xffff80008041a800 0xffff80008041a720 0xffff8000803fa34c 0xffff8000803ca5c0 0xffff8000803caa60 0xffff800080422ea4 0xffff800080ed02cc 0xffff8000805d3368 0xffff8000805d3430 0xffff8000805ccf84 0xffff8000800dc8e0 0xffff8000801a4624 0xffff8000801261a0 0xffff8000800dcce0 0xffff8000806561e0 0xffff8000806550a0 0xffff800080669528 0xffff8000803df840 0xffff8000803e1300 0xffff8000803ffa20 0xffff8000803ffcd0 0xffff8000803e0fcc 0xffff8000803ffb44 0xffff8000800ef9ac 0xffff8000800c340c 0xffff8000803d7cb0 0xffff8000803a8a60 0xffff8000800efae4 0xffff8000803a7340 0xffff80008034e560 0xffff8000804187a0 0xffff8000803e1bc0 0xffff8000804455cc 0xffff8000805eb444 0xffff8000805eb668 0xffff8000805eb960 0xffff8000802bc650 0xffff8000801a4a80 0xffff800080369fc0 0xffff8000802b7da0 0xffff8000803a7948 0xffff8000800587a0 0xffff8000801a4c00 0xffff8000801a4c84 0xffff8000801a4dcc 0xffff8000803e23ac 0xffff8000803e2b90 0xffff8000805e0780 0xffff8000805e0740 0xffff8000805e07b0 0xffff80008032e208 0xffff8000803e7540 0xffff8000803e79f0 0xffff8000803e7bc0 0xffff8000803e7c80
[D] Location needs adjustment (bad): restart_syscall (__arm64_sys_restart_syscall) -> arch/arm64/include/asm/current.h:15
[D] Location needs adjustment (bad): pause (__arm64_sys_pause) -> arch/arm64/include/asm/current.h:15
[D] Location needs adjustment (bad): umask (__arm64_sys_umask) -> arch/arm64/include/asm/current.h:15
[D] Location needs adjustment (bad): landlock_restrict_self (__arm64_sys_landlock_restrict_self) -> security/landlock/syscalls.c:36
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v6.13 0xffff8000805ebab7 0xffff8000800de93f 0xffff8000800d8e4f 0xffff8000800e32d7
[D] Location needs full-range adjustment (invalid): landlock_restrict_self (__arm64_sys_landlock_restrict_self+0x157) -> security/landlock/syscalls.c:None
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v6.13 0xffff8000805eb961 0xffff8000805eb962 0xffff8000805eb963 0xffff8000805eb964 0xffff8000805eb965 0xffff8000805eb966 0xffff8000805eb967 0xffff8000805eb968 0xffff8000805eb969 0xffff8000805eb96a 0xffff8000805eb96b 0xffff8000805eb96c 0xffff8000805eb96d 0xffff8000805eb96e 0xffff8000805eb96f 0xffff8000805eb970 0xffff8000805eb971 0xffff8000805eb972 0xffff8000805eb973 0xffff8000805eb974 0xffff8000805eb975 0xffff8000805eb976 0xffff8000805eb977 0xffff8000805eb978 0xffff8000805eb979 0xffff8000805eb97a 0xffff8000805eb97b 0xffff8000805eb97c 0xffff8000805eb97d 0xffff8000805eb97e 0xffff8000805eb97f 0xffff8000805eb980 0xffff8000805eb981 0xffff8000805eb982 0xffff8000805eb983 0xffff8000805eb984 0xffff8000805eb985 0xffff8000805eb986 0xffff8000805eb987 0xffff8000805eb988 0xffff8000805eb989 0xffff8000805eb98a 0xffff8000805eb98b 0xffff8000805eb98c 0xffff8000805eb98d 0xffff8000805eb98e 0xffff8000805eb98f 0xffff8000805eb990 0xffff8000805eb991 0xffff8000805eb992 0xffff8000805eb993 0xffff8000805eb994 0xffff8000805eb995 0xffff8000805eb996 0xffff8000805eb997 0xffff8000805eb998 0xffff8000805eb999 0xffff8000805eb99a 0xffff8000805eb99b 0xffff8000805eb99c 0xffff8000805eb99d 0xffff8000805eb99e 0xffff8000805eb99f 0xffff8000805eb9a0 0xffff8000805eb9a1 0xffff8000805eb9a2 0xffff8000805eb9a3 0xffff8000805eb9a4 0xffff8000805eb9a5 0xffff8000805eb9a6 0xffff8000805eb9a7 0xffff8000805eb9a8 0xffff8000805eb9a9 0xffff8000805eb9aa 0xffff8000805eb9ab 0xffff8000805eb9ac 0xffff8000805eb9ad 0xffff8000805eb9ae 0xffff8000805eb9af 0xffff8000805eb9b0 0xffff8000805eb9b1 0xffff8000805eb9b2 0xffff8000805eb9b3 0xffff8000805eb9b4 0xffff8000805eb9b5 0xffff8000805eb9b6 0xffff8000805eb9b7 0xffff8000805eb9b8 0xffff8000805eb9b9 0xffff8000805eb9ba 0xffff8000805eb9bb 0xffff8000805eb9bc 0xffff8000805eb9bd 0xffff8000805eb9be 0xffff8000805eb9bf 0xffff8000805eb9c0 0xffff8000805eb9c1 0xffff8000805eb9c2 0xffff8000805eb9c3 0xffff8000805eb9c4 0xffff8000805eb9c5 0xffff8000805eb9c6 0xffff8000805eb9c7 0xffff8000805eb9c8 0xffff8000805eb9c9 0xffff8000805eb9ca 0xffff8000805eb9cb 0xffff8000805eb9cc 0xffff8000805eb9cd 0xffff8000805eb9ce 0xffff8000805eb9cf 0xffff8000805eb9d0 0xffff8000805eb9d1 0xffff8000805eb9d2 0xffff8000805eb9d3 0xffff8000805eb9d4 0xffff8000805eb9d5 0xffff8000805eb9d6 0xffff8000805eb9d7 0xffff8000805eb9d8 0xffff8000805eb9d9 0xffff8000805eb9da 0xffff8000805eb9db 0xffff8000805eb9dc 0xffff8000805eb9dd 0xffff8000805eb9de 0xffff8000805eb9df 0xffff8000805eb9e0 0xffff8000805eb9e1 0xffff8000805eb9e2 0xffff8000805eb9e3 0xffff8000805eb9e4 0xffff8000805eb9e5 0xffff8000805eb9e6 0xffff8000805eb9e7 0xffff8000805eb9e8 0xffff8000805eb9e9 0xffff8000805eb9ea 0xffff8000805eb9eb 0xffff8000805eb9ec 0xffff8000805eb9ed 0xffff8000805eb9ee 0xffff8000805eb9ef 0xffff8000805eb9f0 0xffff8000805eb9f1 0xffff8000805eb9f2 0xffff8000805eb9f3 0xffff8000805eb9f4 0xffff8000805eb9f5 0xffff8000805eb9f6 0xffff8000805eb9f7 0xffff8000805eb9f8 0xffff8000805eb9f9 0xffff8000805eb9fa 0xffff8000805eb9fb 0xffff8000805eb9fc 0xffff8000805eb9fd 0xffff8000805eb9fe 0xffff8000805eb9ff 0xffff8000805eba00 0xffff8000805eba01 0xffff8000805eba02 0xffff8000805eba03 0xffff8000805eba04 0xffff8000805eba05 0xffff8000805eba06 0xffff8000805eba07 0xffff8000805eba08 0xffff8000805eba09 0xffff8000805eba0a 0xffff8000805eba0b 0xffff8000805eba0c 0xffff8000805eba0d 0xffff8000805eba0e 0xffff8000805eba0f 0xffff8000805eba10 0xffff8000805eba11 0xffff8000805eba12 0xffff8000805eba13 0xffff8000805eba14 0xffff8000805eba15 0xffff8000805eba16 0xffff8000805eba17 0xffff8000805eba18 0xffff8000805eba19 0xffff8000805eba1a 0xffff8000805eba1b 0xffff8000805eba1c 0xffff8000805eba1d 0xffff8000805eba1e 0xffff8000805eba1f 0xffff8000805eba20 0xffff8000805eba21 0xffff8000805eba22 0xffff8000805eba23 0xffff8000805eba24 0xffff8000805eba25 0xffff8000805eba26 0xffff8000805eba27 0xffff8000805eba28 0xffff8000805eba29 0xffff8000805eba2a 0xffff8000805eba2b 0xffff8000805eba2c 0xffff8000805eba2d 0xffff8000805eba2e 0xffff8000805eba2f 0xffff8000805eba30 0xffff8000805eba31 0xffff8000805eba32 0xffff8000805eba33 0xffff8000805eba34 0xffff8000805eba35 0xffff8000805eba36 0xffff8000805eba37 0xffff8000805eba38 0xffff8000805eba39 0xffff8000805eba3a 0xffff8000805eba3b 0xffff8000805eba3c 0xffff8000805eba3d 0xffff8000805eba3e 0xffff8000805eba3f 0xffff8000805eba40 0xffff8000805eba41 0xffff8000805eba42 0xffff8000805eba43 0xffff8000805eba44 0xffff8000805eba45 0xffff8000805eba46 0xffff8000805eba47 0xffff8000805eba48 0xffff8000805eba49 0xffff8000805eba4a 0xffff8000805eba4b 0xffff8000805eba4c 0xffff8000805eba4d 0xffff8000805eba4e 0xffff8000805eba4f 0xffff8000805eba50 0xffff8000805eba51 0xffff8000805eba52 0xffff8000805eba53 0xffff8000805eba54 0xffff8000805eba55 0xffff8000805eba56 0xffff8000805eba57 0xffff8000805eba58 0xffff8000805eba59 0xffff8000805eba5a 0xffff8000805eba5b 0xffff8000805eba5c 0xffff8000805eba5d 0xffff8000805eba5e 0xffff8000805eba5f 0xffff8000805eba60 0xffff8000805eba61 0xffff8000805eba62 0xffff8000805eba63 0xffff8000805eba64 0xffff8000805eba65 0xffff8000805eba66 0xffff8000805eba67 0xffff8000805eba68 0xffff8000805eba69 0xffff8000805eba6a 0xffff8000805eba6b 0xffff8000805eba6c 0xffff8000805eba6d 0xffff8000805eba6e 0xffff8000805eba6f 0xffff8000805eba70 0xffff8000805eba71 0xffff8000805eba72 0xffff8000805eba73 0xffff8000805eba74 0xffff8000805eba75 0xffff8000805eba76 0xffff8000805eba77 0xffff8000805eba78 0xffff8000805eba79 0xffff8000805eba7a 0xffff8000805eba7b 0xffff8000805eba7c 0xffff8000805eba7d 0xffff8000805eba7e 0xffff8000805eba7f 0xffff8000805eba80 0xffff8000805eba81 0xffff8000805eba82 0xffff8000805eba83 0xffff8000805eba84 0xffff8000805eba85 0xffff8000805eba86 0xffff8000805eba87 0xffff8000805eba88 0xffff8000805eba89 0xffff8000805eba8a 0xffff8000805eba8b 0xffff8000805eba8c 0xffff8000805eba8d 0xffff8000805eba8e 0xffff8000805eba8f 0xffff8000805eba90 0xffff8000805eba91 0xffff8000805eba92 0xffff8000805eba93 0xffff8000805eba94 0xffff8000805eba95 0xffff8000805eba96 0xffff8000805eba97 0xffff8000805eba98 0xffff8000805eba99 0xffff8000805eba9a 0xffff8000805eba9b 0xffff8000805eba9c 0xffff8000805eba9d 0xffff8000805eba9e 0xffff8000805eba9f 0xffff8000805ebaa0 0xffff8000805ebaa1 0xffff8000805ebaa2 0xffff8000805ebaa3 0xffff8000805ebaa4 0xffff8000805ebaa5 0xffff8000805ebaa6 0xffff8000805ebaa7 0xffff8000805ebaa8 0xffff8000805ebaa9 0xffff8000805ebaaa 0xffff8000805ebaab 0xffff8000805ebaac 0xffff8000805ebaad 0xffff8000805ebaae 0xffff8000805ebaaf 0xffff8000805ebab0 0xffff8000805ebab1 0xffff8000805ebab2 0xffff8000805ebab3 0xffff8000805ebab4 0xffff8000805ebab5
[D] Location found through full-range adjustment: landlock_restrict_self (__arm64_sys_landlock_restrict_self+0x4) -> security/landlock/syscalls.c:456
[D] Running command: rg --line-number --glob '!Documentation/*' --glob '!drivers/*' --glob '!lib/*' --glob '!samples/*' --glob '!sound/*' --glob '!tools/*' --glob '!usr/*' --glob '!arch/*' --glob arch/arm64 --glob '*.c' '\b(COMPAT_)?SYSCALL(32)?_DEFINE\d\s*\(\s*\w+'
[I] Kernel has ftrace syscall metadata from FTRACE_SYSCALLS=y
Found 413 implemented syscalls

