[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v5.4 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v5.4
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v5.4
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v5.4
Detected kernel version: 5.4.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff800010bb4d68, type=OBJECT, size=0xda0)
[D] compat_sys_call_table[426]: Symbol("__arm64_sys_io_uring_enter" at 0xffff80001034c890, type=FUNC, size=0x348)
[D] compat_sys_call_table[427]: Symbol("__arm64_sys_io_uring_register" at 0xffff80001034cc00, type=FUNC, size=0x994)
[D] compat_sys_call_table[428]: Symbol("__arm64_sys_open_tree" at 0xffff80001030e820, type=FUNC, size=0x314)
[D] compat_sys_call_table[429]: Symbol("__arm64_sys_move_mount" at 0xffff800010310084, type=FUNC, size=0x14c)
[D] compat_sys_call_table[430]: Symbol("__arm64_sys_fsopen" at 0xffff800010327cc0, type=FUNC, size=0x150)
[D] compat_sys_call_table[431]: Symbol("__arm64_sys_fsconfig" at 0xffff800010327fa0, type=FUNC, size=0x580)
[D] compat_sys_call_table[432]: Symbol("__arm64_sys_fsmount" at 0xffff80001030fd60, type=FUNC, size=0x324)
[D] compat_sys_call_table[433]: Symbol("__arm64_sys_fspick" at 0xffff800010327e10, type=FUNC, size=0x190)
[D] compat_sys_call_table[434]: Symbol("__arm64_sys_pidfd_open" at 0xffff8000101112f0, type=FUNC, size=0x154)
[D] compat_sys_call_table[435]: Symbol("__arm64_sys_clone3" at 0xffff8000100ea454, type=FUNC, size=0xe4)
[I] Common syscall symbol prefixes: __arm64_compat_sys_, __arm64_compat_, __arm64_sys_, __arm64_, __
[I] 49 entries point to __arm64_sys_ni_syscall
[I] Syscall pciconfig_iobase (__arm64_sys_pciconfig_iobase) is not really implemented: dummy implementation: a0048092c0035fd6
[I] Syscall pkey_mprotect (__arm64_sys_pkey_mprotect) is not really implemented: dummy implementation: a0048092c0035fd6
[I] Syscall pkey_alloc (__arm64_sys_pkey_alloc) is not really implemented: dummy implementation: a0048092c0035fd6
[I] Syscall pkey_free (__arm64_sys_pkey_free) is not really implemented: dummy implementation: a0048092c0035fd6
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v5.4 0xffff8000100fdf74 0xffff8000100f1630 0xffff8000100ea300 0xffff8000102e3ce0 0xffff8000102e3e00 0xffff8000102e08e0 0xffff8000102e0970 0xffff8000102e0940 0xffff8000102f8784 0xffff8000102f81f4 0xffff8000102edb60 0xffff8000102dfe50 0xffff8000102f7b70 0xffff8000102e0200 0xffff80001018aa10 0xffff8000102e22c4 0xffff8000101060b0 0xffff800010353960 0xffff80001018ab34 0xffff80001018b380 0xffff8000100fb080 0xffff800010102ee0 0xffff8000102dfd54 0xffff800010122390 0xffff800010322e60 0xffff800010101470 0xffff8000102f8810 0xffff8000102f7cf4 0xffff8000102f7ed0 0xffff800010309690 0xffff8000102ef7d0 0xffff8000101062c4 0xffff80001027de80 0xffff80001018aad4 0xffff80001018b440 0xffff80001018b3e0 0xffff80001018b4a0 0xffff8000101934c0 0xffff80001030d650 0xffff800010354b60 0xffff8000102f9af4 0xffff800010106440 0xffff800010107894 0xffff8000102e0020 0xffff800010325a10 0xffff800010309560 0xffff800010106100 0xffff800010106634 0xffff8000101067d4 0xffff800010102aa0 0xffff80001018ab00 0xffff80001018aaa0 0xffff800010103050 0xffff8000101023e0 0xffff800010106810 0xffff800010106eb4 0xffff800010107874 0xffff80001016e8e4 0xffff80001016ea80 0xffff80001018b010 0xffff80001018b194 0xffff8000102f83c4 0xffff8000102ead90 0xffff8000102ed5b4 0xffff80001029e390 0xffff8000101185a0 0xffff80001027cf80 0xffff8000102df7f4 0xffff8000102df9e4 0xffff8000102e00e4 0xffff80001018aa60 0xffff800010104b10 0xffff800010104884 0xffff800010325870 0xffff800010325890 0xffff80001014f440 0xffff80001017fde0 0xffff80001017f854 0xffff8000102eae70 0xffff8000102eae90 0xffff8000102eaed4 0xffff8000102e09c0 0xffff8000100f1a70 0xffff80001029dd00 0xffff800010108010 0xffff800010322f60 0xffff8000100996b0 0xffff8000100ea3c4 0xffff800010106ab0 0xffff8000101067f0 0xffff80001016ee34 0xffff8000102805d4 0xffff800010196ed0 0xffff8000101916c0 0xffff80001018e880 0xffff80001036a8d0 0xffff8000101065c4 0xffff8000102dfe70 0xffff80001032ea30 0xffff800010309c00 0xffff8000100eae50 0xffff80001018afc0 0xffff80001018afe4 0xffff8000102e22f0 0xffff8000102fc3b0 0xffff8000102fe694 0xffff800010352e40 0xffff800010281910 0xffff8000102e4780 0xffff8000102e4834 0xffff800010106670 0xffff800010322f80 0xffff8000100f8214 0xffff8000102798e0 0xffff800010279950 0xffff8000102799d0 0xffff800010279b40 0xffff8000101225a0 0xffff800010122950 0xffff800010122570 0xffff8000101228d0 0xffff800010123100 0xffff800010123180 0xffff8000101231c4 0xffff800010123274 0xffff800010173fc4 0xffff800010281310 0xffff80001018ab60 0xffff80001018aba0 0xffff8000102fe420 0xffff80001018ad90 0xffff80001018add0 0xffff8000101078e0 0xffff800010099750 0xffff8000101026f4 0xffff8000100fe414 0xffff8000100fe610 0xffff8000101013b0 0xffff8000101019e4 0xffff800010102fe0 0xffff800010097c64 0xffff800010097c90 0xffff80001018a9c0 0xffff800010324360 0xffff8000100f8890 0xffff8000100f8a90 0xffff800010102184 0xffff8000102e4b64 0xffff8000100ea360 0xffff800010106fa0 0xffff800010097c40 0xffff800010097cc0 0xffff800010097cf0 0xffff8000102eadc0 0xffff8000102eade0 0xffff8000102eae00 0xffff8000102e0390 0xffff800010106140 0xffff8000101061a0 0xffff800010106170 0xffff8000101061d0 0xffff8000101052c0 0xffff800010104f10 0xffff80001011a860 0xffff80001011a9f0 0xffff8000102e04a0 0xffff800010105850 0xffff800010105874 0xffff800010105d00 0xffff800010105d24 0xffff8000102e0360 0xffff8000101053e0 0xffff800010105000 0xffff800010105f94 0xffff800010106090 0xffff8000102fc2b4 0xffff800010310240 0xffff8000102782d0 0xffff800010297280 0xffff8000102f9ad0 0xffff8000101060d4 0xffff800010097d20 0xffff800010313e80 0xffff800010313eb0 0xffff800010313ee0 0xffff800010313fb4 0xffff800010313fe0 0xffff800010314004 0xffff8000103140d0 0xffff8000103140f4 0xffff800010314120 0xffff8000103141d4 0xffff8000103141f4 0xffff800010314214 0xffff8000101018d0 0xffff8000102e4a14 0xffff800010189584 0xffff800010197500 0xffff800010197730 0xffff800010346dd4 0xffff800010346f40 0xffff800010347700 0xffff800010347190 0xffff800010347344 0xffff8000100f16e0 0xffff80001038b4d4 0xffff80001033e2d0 0xffff80001033e300 0xffff80001033ee30 0xffff80001027eba0 0xffff8000100e9c60 0xffff80001017c464 0xffff80001017c750 0xffff80001017c580 0xffff80001017c600 0xffff80001017c820 0xffff80001017cd10 0xffff80001017cde4 0xffff80001017cee0 0xffff80001017d0f0 0xffff800010097be0 0xffff800010097c10 0xffff800010101890 0xffff8000103239f4 0xffff800010097d50 0xffff8000105d99b0 0xffff8000105d9d00 0xffff8000104a8550 0xffff8000104a81c4 0xffff8000104a86b0 0xffff8000104a8764 0xffff8000104a8600 0xffff8000104a8690 0xffff8000100f1aa0 0xffff800010a4ebf0 0xffff800010a4f000 0xffff800010a4f3f4 0xffff800010a4f0d0 0xffff800010a4f300 0xffff800010a4f4e0 0xffff800010a4f5d0 0xffff800010a4ef14 0xffff800010a4f750 0xffff800010a4f720 0xffff800010ab55f0 0xffff800010ab5630 0xffff800010a4fb54 0xffff800010ab5500 0xffff800010ab5530 0xffff800010ab5560 0xffff800010ab55c4 0xffff8000104a31b0 0xffff8000104a2c60 0xffff8000104a2f00 0xffff80001049f2d0 0xffff80001049f380 0xffff80001049f090 0xffff80001049f170 0xffff8000104a5894 0xffff8000104a5a60 0xffff8000104a5060 0xffff8000104a53c0 0xffff8000104ad160 0xffff8000104ad3c0 0xffff8000104b1b40 0xffff8000104a3114 0xffff8000104f30b0 0xffff8000104f3360 0xffff80001033a680 0xffff80001033a6a0 0xffff80001033aa10 0xffff8000102abd50 0xffff8000102aa910 0xffff8000102aab00 0xffff8000102e0910 0xffff8000102f7cd0 0xffff8000102f7b40 0xffff8000102e0330 0xffff8000103239d4 0xffff8000102eae20 0xffff8000102f8190 0xffff8000102f87e0 0xffff8000102f8754 0xffff8000102f83a0 0xffff8000102ead64 0xffff8000102e01d0 0xffff8000102dfd30 0xffff8000102fe9b0 0xffff8000102febe0 0xffff8000100ea9a0 0xffff8000101893f0 0xffff800010189430 0xffff800010321ef0 0xffff800010097d90 0xffff800010322600 0xffff800010321ec4 0xffff8000102bfde0 0xffff800010107ee0 0xffff80001033ef30 0xffff8000101957c0 0xffff800010323910 0xffff80001033fb24 0xffff8000103408f0 0xffff800010341694 0xffff800010097dd0 0xffff800010340b90 0xffff800010340c34 0xffff80001033faa0 0xffff800010341670 0xffff80001033e2b4 0xffff800010309530 0xffff8000102ef7a4 0xffff80001033a660 0xffff8000102e47b0 0xffff8000102e4860 0xffff800010101b40 0xffff800010227b14 0xffff800010ab56a0 0xffff800010a4f2d4 0xffff80001033c6e0 0xffff80001033c970 0xffff800010107094 0xffff80001035f5a0 0xffff80001035f824 0xffff80001017cec0 0xffff800010322ee0 0xffff800010ab5590 0xffff800010115de0 0xffff80001028bda0 0xffff80001028bdd4 0xffff80001016bdf4 0xffff8000101916e0 0xffff8000101225d0 0xffff800010122a84 0xffff8000102f87b0 0xffff8000101bc9b0 0xffff80001076a5b4 0xffff8000102de360 0xffff8000101f6bc0 0xffff8000102edbb0 0xffff800010343d50 0xffff80001013e124 0xffff800010279900 0xffff8000102e4df0 0xffff8000102e47e4 0xffff8000102e4894 0xffff8000102eae44 0xffff8000102311e4 0xffff8000103477c0 0xffff8000102aac54 0xffff800010195f60 0xffff80001017cab4 0xffff80001017c9e0 0xffff80001017cc10 0xffff80001017cc30 0xffff80001017cfc0 0xffff80001017c500 0xffff80001017c680 0xffff800010340b14 0xffff800010340a70 0xffff800010323720 0xffff8000102fe780 0xffff8000102fecf4 0xffff800010347570 0xffff800010ab5664 0xffff8000104a8340 0xffff8000104a83f4 0xffff8000104a2fd4 0xffff8000101012f0 0xffff800010189110 0xffff800010123204 0xffff800010101680 0xffff80001034cbe0 0xffff80001034c890 0xffff80001034cc00 0xffff80001030e820 0xffff800010310084 0xffff800010327cc0 0xffff800010327fa0 0xffff80001030fd60 0xffff800010327e10 0xffff8000101112f0 0xffff8000100ea454
[D] Location needs adjustment (bad): umask (__arm64_sys_umask) -> arch/arm64/include/asm/current.h:15
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v5.4 0xffff8000101078c3
[D] Running command: rg --line-number --glob '!Documentation/*' --glob '!drivers/*' --glob '!lib/*' --glob '!samples/*' --glob '!sound/*' --glob '!tools/*' --glob '!usr/*' --glob '!arch/*' --glob arch/arm64 --glob '*.c' '\b(COMPAT_)?SYSCALL(32)?_DEFINE\d\s*\(\s*\w+'
[I] Kernel has ftrace syscall metadata from FTRACE_SYSCALLS=y
Found 383 implemented syscalls

