[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64-32 --kdir /mnt/m2data/linux-worktrees/v6.16 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.16
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.16
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.16
Detected kernel version: 6.16.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffffffff81003198, type=OBJECT, size=0xea0)
[D] compat_sys_call_table[426]: Symbol("__riscv_sys_io_uring_enter" at 0xffffffff804e9104, type=FUNC, size=0x6c0)
[D] compat_sys_call_table[427]: Symbol("__riscv_sys_io_uring_register" at 0xffffffff804f7834, type=FUNC, size=0xa92)
[D] compat_sys_call_table[428]: Symbol("__riscv_sys_open_tree" at 0xffffffff802ae464, type=FUNC, size=0x70)
[D] compat_sys_call_table[429]: Symbol("__riscv_sys_move_mount" at 0xffffffff802af8dc, type=FUNC, size=0x2ac)
[D] compat_sys_call_table[430]: Symbol("__riscv_sys_fsopen" at 0xffffffff802c90cc, type=FUNC, size=0xfa)
[D] compat_sys_call_table[431]: Symbol("__riscv_sys_fsconfig" at 0xffffffff802c9300, type=FUNC, size=0x424)
[D] compat_sys_call_table[432]: Symbol("__riscv_sys_fsmount" at 0xffffffff802af634, type=FUNC, size=0x2a8)
[D] compat_sys_call_table[433]: Symbol("__riscv_sys_fspick" at 0xffffffff802c91c8, type=FUNC, size=0x138)
[D] compat_sys_call_table[434]: Symbol("__riscv_sys_pidfd_open" at 0xffffffff8004bd54, type=FUNC, size=0xce)
[D] compat_sys_call_table[435]: Symbol("__riscv_sys_clone3" at 0xffffffff800259e0, type=FUNC, size=0x1a)
[D] compat_sys_call_table[436]: Symbol("__riscv_sys_close_range" at 0xffffffff802a67b8, type=FUNC, size=0x35c)
[D] compat_sys_call_table[437]: Symbol("__riscv_sys_openat2" at 0xffffffff8027c110, type=FUNC, size=0xec)
[D] compat_sys_call_table[438]: Symbol("__riscv_sys_pidfd_getfd" at 0xffffffff8004bf5c, type=FUNC, size=0x1e8)
[D] compat_sys_call_table[439]: Symbol("__riscv_sys_faccessat2" at 0xffffffff8027ae78, type=FUNC, size=0x1e)
[D] compat_sys_call_table[440]: Symbol("__riscv_sys_process_madvise" at 0xffffffff80249904, type=FUNC, size=0x20)
[D] compat_sys_call_table[441]: Symbol("__riscv_compat_sys_epoll_pwait2" at 0xffffffff802ded80, type=FUNC, size=0xb6)
[D] compat_sys_call_table[442]: Symbol("__riscv_sys_mount_setattr" at 0xffffffff802b0080, type=FUNC, size=0x16c)
[D] compat_sys_call_table[443]: Symbol("__riscv_sys_quotactl_fd" at 0xffffffff80308598, type=FUNC, size=0x196)
[D] compat_sys_call_table[444]: Symbol("__riscv_sys_landlock_create_ruleset" at 0xffffffff80493554, type=FUNC, size=0x194)
[D] compat_sys_call_table[445]: Symbol("__riscv_sys_landlock_add_rule" at 0xffffffff804936e8, type=FUNC, size=0x224)
[D] compat_sys_call_table[446]: Symbol("__riscv_sys_landlock_restrict_self" at 0xffffffff8049390c, type=FUNC, size=0x2ba)
[D] compat_sys_call_table[447]: Symbol("__riscv_sys_memfd_secret" at 0xffffffff802745bc, type=FUNC, size=0x144)
[D] compat_sys_call_table[448]: Symbol("__riscv_sys_process_mrelease" at 0xffffffff801d3cd4, type=FUNC, size=0x27e)
[D] compat_sys_call_table[449]: Symbol("__riscv_sys_futex_waitv" at 0xffffffff800dca14, type=FUNC, size=0x170)
[D] compat_sys_call_table[450]: Symbol("__riscv_sys_set_mempolicy_home_node" at 0xffffffff80263488, type=FUNC, size=0x24a)
[D] compat_sys_call_table[451]: Symbol("__riscv_sys_cachestat" at 0xffffffff801d022c, type=FUNC, size=0x146)
[D] compat_sys_call_table[452]: Symbol("__riscv_sys_fchmodat2" at 0xffffffff8027b310, type=FUNC, size=0xc8)
[D] compat_sys_call_table[453]: Symbol("__riscv_sys_map_shadow_stack" at 0xffffffff80050c74, type=FUNC, size=0x14)
[D] compat_sys_call_table[454]: Symbol("__riscv_sys_futex_wake" at 0xffffffff800dcb84, type=FUNC, size=0x8e)
[D] compat_sys_call_table[455]: Symbol("__riscv_sys_futex_wait" at 0xffffffff800dcc14, type=FUNC, size=0x12e)
[D] compat_sys_call_table[456]: Symbol("__riscv_sys_futex_requeue" at 0xffffffff800dcd44, type=FUNC, size=0x1e)
[D] compat_sys_call_table[457]: Symbol("__riscv_sys_statmount" at 0xffffffff802b036c, type=FUNC, size=0x662)
[D] compat_sys_call_table[458]: Symbol("__riscv_sys_listmount" at 0xffffffff802b09d0, type=FUNC, size=0x41a)
[D] compat_sys_call_table[459]: Symbol("__riscv_sys_lsm_get_self_attr" at 0xffffffff8046896c, type=FUNC, size=0x1e)
[D] compat_sys_call_table[460]: Symbol("__riscv_sys_lsm_set_self_attr" at 0xffffffff8046894c, type=FUNC, size=0x1e)
[D] compat_sys_call_table[461]: Symbol("__riscv_sys_lsm_list_modules" at 0xffffffff8046898c, type=FUNC, size=0x2e0)
[D] compat_sys_call_table[462]: Symbol("__riscv_sys_mseal" at 0xffffffff80231b04, type=FUNC, size=0x1c)
[D] compat_sys_call_table[463]: Symbol("__riscv_sys_setxattrat" at 0xffffffff802b4048, type=FUNC, size=0xc4)
[D] compat_sys_call_table[464]: Symbol("__riscv_sys_getxattrat" at 0xffffffff802b43ac, type=FUNC, size=0xc6)
[D] compat_sys_call_table[465]: Symbol("__riscv_sys_listxattrat" at 0xffffffff802b44e4, type=FUNC, size=0x20)
[D] compat_sys_call_table[466]: Symbol("__riscv_sys_removexattrat" at 0xffffffff802b456c, type=FUNC, size=0x1e)
[D] compat_sys_call_table[467]: Symbol("__riscv_sys_open_tree_attr" at 0xffffffff802b01ec, type=FUNC, size=0x150)
[I] Common syscall symbol prefixes: __riscv_compat_sys_, __riscv_compat_, __riscv_sys_, __riscv_, __
[I] 156 entries point to __riscv_sys_ni_syscall
[I] Syscall pkey_mprotect (__riscv_sys_pkey_mprotect) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall pkey_alloc (__riscv_sys_pkey_alloc) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall pkey_free (__riscv_sys_pkey_free) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall map_shadow_stack (__riscv_sys_map_shadow_stack) is not really implemented: code matches __riscv_sys_ni_syscall
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-riscv64-v6.16 0xffffffff802e8d80 0xffffffff802e8fcc 0xffffffff802e92c4 0xffffffff802e94c0 0xffffffff802b410c 0xffffffff802b4134 0xffffffff802b4160 0xffffffff802b4474 0xffffffff802b4498 0xffffffff802b44c0 0xffffffff802b4504 0xffffffff802b4528 0xffffffff802b454c 0xffffffff802b458c 0xffffffff802b45ac 0xffffffff802b45d0 0xffffffff802c5358 0xffffffff802e1910 0xffffffff802ddd58 0xffffffff802de8bc 0xffffffff802dec70 0xffffffff802a73e8 0xffffffff802a7324 0xffffffff802943f8 0xffffffff802d8448 0xffffffff802d8478 0xffffffff802d8858 0xffffffff802960f0 0xffffffff804c9418 0xffffffff804c9634 0xffffffff802eee50 0xffffffff8029215c 0xffffffff80292348 0xffffffff802927c8 0xffffffff802929b4 0xffffffff80292cbc 0xffffffff802acd38 0xffffffff802af45c 0xffffffff802afbd0 0xffffffff802c698c 0xffffffff802c6a48 0xffffffff8027ac80 0xffffffff8027aca4 0xffffffff8027adc4 0xffffffff8027ae58 0xffffffff8027aeb8 0xffffffff8027af6c 0xffffffff8027b000 0xffffffff8027b284 0xffffffff8027b3d8 0xffffffff8027b7f0 0xffffffff8027b920 0xffffffff8027c088 0xffffffff8027c354 0xffffffff8027c3b0 0xffffffff8028ad50 0xffffffff80308250 0xffffffff80296da4 0xffffffff8027dc64 0xffffffff8027eb0c 0xffffffff8027ebe8 0xffffffff8027ef9c 0xffffffff8027efbc 0xffffffff8027ed24 0xffffffff8027eef0 0xffffffff8027f19c 0xffffffff8027f290 0xffffffff8027f580 0xffffffff802dfb98 0xffffffff802c3700 0xffffffff802c3720 0xffffffff802c3c3c 0xffffffff802861ac 0xffffffff802c3ff0 0xffffffff802c410c 0xffffffff802c4128 0xffffffff802c4324 0xffffffff802e0ad4 0xffffffff800e3940 0xffffffff8003211c 0xffffffff8003231c 0xffffffff8002606c 0xffffffff8002bd74 0xffffffff8002bdfc 0xffffffff8002cba4 0xffffffff80023d00 0xffffffff80025ea0 0xffffffff800dcd64 0xffffffff800dcd94 0xffffffff800d1b98 0xffffffff800d1f04 0xffffffff800e62e0 0xffffffff800bbc44 0xffffffff800bc0dc 0xffffffff800ce724 0xffffffff800ce8a0 0xffffffff800ceb50 0xffffffff80089320 0xffffffff800349c4 0xffffffff80077d68 0xffffffff80077d40 0xffffffff8007818c 0xffffffff800781dc 0xffffffff800e8300 0xffffffff800e84e0 0xffffffff800788b4 0xffffffff800788cc 0xffffffff80078914 0xffffffff80037b14 0xffffffff8003afc0 0xffffffff8003b358 0xffffffff8003b2a4 0xffffffff8003bc4c 0xffffffff8003c390 0xffffffff8003bea0 0xffffffff80037ff0 0xffffffff80038134 0xffffffff8003b49c 0xffffffff8001d568 0xffffffff8003d98c 0xffffffff8003dbc8 0xffffffff80054634 0xffffffff8003dee8 0xffffffff8003dfdc 0xffffffff8003e1e0 0xffffffff8003e2e8 0xffffffff8003e654 0xffffffff8003e670 0xffffffff8003ec24 0xffffffff8003ec40 0xffffffff8003ef78 0xffffffff8003f048 0xffffffff8003f1b4 0xffffffff8003f2d4 0xffffffff8003f450 0xffffffff8003f4a0 0xffffffff8003f5e8 0xffffffff80056328 0xffffffff800564c8 0xffffffff8003f5fc 0xffffffff8003f614 0xffffffff8003f718 0xffffffff80040054 0xffffffff80040070 0xffffffff800400f8 0xffffffff80040954 0xffffffff8003f060 0xffffffff8003f098 0xffffffff8003f0b4 0xffffffff8003f0d4 0xffffffff8003f0f4 0xffffffff8003f114 0xffffffff8003f07c 0xffffffff80040b58 0xffffffff8045e704 0xffffffff8045e3b8 0xffffffff8045e7e8 0xffffffff8045e87c 0xffffffff804544dc 0xffffffff80454558 0xffffffff80454898 0xffffffff80454814 0xffffffff80457124 0xffffffff804572c0 0xffffffff80458950 0xffffffff8045ae2c 0xffffffff8045aeac 0xffffffff8045b46c 0xffffffff8045b6c8 0xffffffff8080f1d8 0xffffffff8080f528 0xffffffff8080f67c 0xffffffff8080f7c0 0xffffffff8080fa2c 0xffffffff8080fb6c 0xffffffff8080fc78 0xffffffff8080fd84 0xffffffff8080ff1c 0xffffffff8088b8fc 0xffffffff80810198 0xffffffff8081024c 0xffffffff80810350 0xffffffff8088b858 0xffffffff8088b8a8 0xffffffff801d96c8 0xffffffff80219680 0xffffffff8021a238 0xffffffff8021e8ac 0xffffffff80462e9c 0xffffffff80463040 0xffffffff80466af4 0xffffffff800259c0 0xffffffff80288e10 0xffffffff80013604 0xffffffff801d427c 0xffffffff80250c80 0xffffffff8024fa5c 0xffffffff8021cf54 0xffffffff8021e8d0 0xffffffff80217cec 0xffffffff80217d44 0xffffffff80217e24 0xffffffff80217fac 0xffffffff80216348 0xffffffff802498e4 0xffffffff8021a278 0xffffffff80263b68 0xffffffff8026105c 0xffffffff80260dd8 0xffffffff80260e88 0xffffffff8026944c 0xffffffff8003b5c0 0xffffffff801bf2fc 0xffffffff8080fa0c 0xffffffff800143f8 0xffffffff8001362c 0xffffffff8003f9e4 0xffffffff802dc130 0xffffffff802dc40c 0xffffffff802f9e08 0xffffffff802fa184 0xffffffff802c4064 0xffffffff80051858 0xffffffff8088b880 0xffffffff80231808 0xffffffff8023182c 0xffffffff800be268 0xffffffff800bbc60 0xffffffff80077d84 0xffffffff80078284 0xffffffff80293240 0xffffffff8010ecc8 0xffffffff80664ff0 0xffffffff80278d10 0xffffffff80152b54 0xffffffff80288e50 0xffffffff802e55cc 0xffffffff80082ca4 0xffffffff80217d08 0xffffffff8027fecc 0xffffffff8027f250 0xffffffff8027f344 0xffffffff802863f0 0xffffffff801c8540 0xffffffff800e722c 0xffffffff800ceec0 0xffffffff800cee00 0xffffffff800cefe0 0xffffffff800ceffc 0xffffffff800cf318 0xffffffff800ce7b8 0xffffffff800ce978 0xffffffff802e0d40 0xffffffff802e0c90 0xffffffff802c4738 0xffffffff80299188 0xffffffff80299564 0xffffffff802e9a98 0xffffffff8088b92c 0xffffffff8045e514 0xffffffff8045e5bc 0xffffffff804587ac 0xffffffff8003ae30 0xffffffff800dc6a8 0xffffffff80078958 0xffffffff8003b17c 0xffffffff804ea1b0 0xffffffff804e9104 0xffffffff804f7834 0xffffffff802ae464 0xffffffff802af8dc 0xffffffff802c90cc 0xffffffff802c9300 0xffffffff802af634 0xffffffff802c91c8 0xffffffff8004bd54 0xffffffff800259e0 0xffffffff802a67b8 0xffffffff8027c110 0xffffffff8004bf5c 0xffffffff8027ae78 0xffffffff80249904 0xffffffff802ded80 0xffffffff802b0080 0xffffffff80308598 0xffffffff80493554 0xffffffff804936e8 0xffffffff8049390c 0xffffffff802745bc 0xffffffff801d3cd4 0xffffffff800dca14 0xffffffff80263488 0xffffffff801d022c 0xffffffff8027b310 0xffffffff800dcb84 0xffffffff800dcc14 0xffffffff800dcd44 0xffffffff802b036c 0xffffffff802b09d0 0xffffffff8046896c 0xffffffff8046894c 0xffffffff8046898c 0xffffffff80231b04 0xffffffff802b4048 0xffffffff802b43ac 0xffffffff802b44e4 0xffffffff802b456c 0xffffffff802b01ec
[D] Running command: rg --line-number --glob '!Documentation/*' --glob '!drivers/*' --glob '!lib/*' --glob '!samples/*' --glob '!sound/*' --glob '!tools/*' --glob '!usr/*' --glob '!arch/*' --glob arch/riscv --glob '*.c' '\b(COMPAT_)?SYSCALL(32)?_DEFINE\d\s*\(\s*\w+'
[I] Kernel has ftrace syscall metadata from FTRACE_SYSCALLS=y
Found 308 implemented syscalls

