[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64 --kdir /mnt/m2data/linux-worktrees/v6.9 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.9
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.9
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.9
Detected kernel version: 6.9.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffff800080fc09e8, type=OBJECT, size=0xe70)
[D] sys_call_table[449]: Symbol("__arm64_sys_futex_waitv" at 0xffff800080176328, type=FUNC, size=0x19c)
[D] sys_call_table[450]: Symbol("__arm64_sys_set_mempolicy_home_node" at 0xffff800080332c14, type=FUNC, size=0x240)
[D] sys_call_table[451]: Symbol("__arm64_sys_cachestat" at 0xffff80008028e190, type=FUNC, size=0x218)
[D] sys_call_table[452]: Symbol("__arm64_sys_fchmodat2" at 0xffff80008036fce0, type=FUNC, size=0x100)
[D] sys_call_table[453]: Symbol("__arm64_sys_map_shadow_stack" at 0xffff8000800cf56c, type=FUNC, size=0x8)
[D] sys_call_table[454]: Symbol("__arm64_sys_futex_wake" at 0xffff8000801764c4, type=FUNC, size=0x98)
[D] sys_call_table[455]: Symbol("__arm64_sys_futex_wait" at 0xffff80008017655c, type=FUNC, size=0x15c)
[D] sys_call_table[456]: Symbol("__arm64_sys_futex_requeue" at 0xffff8000801766b8, type=FUNC, size=0x30)
[D] sys_call_table[457]: Symbol("__arm64_sys_statmount" at 0xffff8000803a69bc, type=FUNC, size=0x2c)
[D] sys_call_table[458]: Symbol("__arm64_sys_listmount" at 0xffff8000803a69e8, type=FUNC, size=0x3d0)
[D] sys_call_table[459]: Symbol("__arm64_sys_lsm_get_self_attr" at 0xffff800080598e5c, type=FUNC, size=0x30)
[D] sys_call_table[460]: Symbol("__arm64_sys_lsm_set_self_attr" at 0xffff800080598e28, type=FUNC, size=0x34)
[D] sys_call_table[461]: Symbol("__arm64_sys_lsm_list_modules" at 0xffff800080598e8c, type=FUNC, size=0x13c)
[I] Common syscall symbol prefixes: __arm64_sys_, __arm64_, __
[I] 147 entries point to __arm64_sys_ni_syscall
[I] Syscall pkey_mprotect (__arm64_sys_pkey_mprotect) is not really implemented: dummy implementation: a0048092c0035fd6
[I] Syscall pkey_alloc (__arm64_sys_pkey_alloc) is not really implemented: dummy implementation: a0048092c0035fd6
[I] Syscall pkey_free (__arm64_sys_pkey_free) is not really implemented: dummy implementation: a0048092c0035fd6
[I] Syscall map_shadow_stack (__arm64_sys_map_shadow_stack) is not really implemented: dummy implementation: a0048092c0035fd6
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v6.9 0xffff8000803e37a8 0xffff8000803e39e4 0xffff8000803e3ab0 0xffff8000803e3df0 0xffff8000803e3f4c 0xffff8000803aaba4 0xffff8000803aabd8 0xffff8000803aac0c 0xffff8000803ab04c 0xffff8000803ab078 0xffff8000803ab0a4 0xffff8000803ab170 0xffff8000803ab19c 0xffff8000803ab1c8 0xffff8000803ab288 0xffff8000803ab2b0 0xffff8000803ab2d8 0xffff8000803be2ec 0xffff8000803dc504 0xffff8000803d8848 0xffff8000803d943c 0xffff8000803d960c 0xffff80008039d578 0xffff80008039d434 0xffff80008038bd60 0xffff8000803d25b4 0xffff8000803d25fc 0xffff8000803d2a2c 0xffff80008038dac4 0xffff8000805e3da8 0xffff8000805e406c 0xffff8000803ea21c 0xffff80008038957c 0xffff8000803897c8 0xffff800080389dac 0xffff800080389ffc 0xffff80008038a380 0xffff80008038a9ec 0xffff8000803a28c0 0xffff8000803a52ec 0xffff8000803a5c84 0xffff8000803bf834 0xffff8000803bf87c 0xffff80008036f2a0 0xffff80008036f5b0 0xffff80008036f6a4 0xffff80008036f6d4 0xffff80008036f764 0xffff80008036f85c 0xffff80008036f92c 0xffff80008036fc30 0xffff80008036fde0 0xffff8000803702c0 0xffff800080370508 0xffff800080370aec 0xffff800080370e88 0xffff800080370f34 0xffff800080380f2c 0xffff800080405588 0xffff80008038ebfc 0xffff8000803729e4 0xffff800080373b80 0xffff800080373cac 0xffff800080373eac 0xffff800080373ed8 0xffff800080373d94 0xffff800080373e80 0xffff800080373f04 0xffff800080373f7c 0xffff80008037422c 0xffff800080390c50 0xffff800080390fb0 0xffff8000803da504 0xffff8000803bbf30 0xffff8000803bbf5c 0xffff8000803bc634 0xffff80008037b940 0xffff80008037b8ec 0xffff80008037b918 0xffff8000803bcbc8 0xffff8000803bccec 0xffff8000803bcd14 0xffff8000803bcef8 0xffff8000803db5f4 0xffff8000803db778 0xffff8000803db834 0xffff8000803bd4dc 0xffff80008017e3a4 0xffff8000800ae014 0xffff8000800ae214 0xffff800080020330 0xffff8000800a5ebc 0xffff8000800a5f64 0xffff8000800a6bb8 0xffff80008009c898 0xffff80008009ec7c 0xffff800080175ed4 0xffff800080175be8 0xffff800080175c0c 0xffff80008015db30 0xffff80008016a7a0 0xffff80008016a968 0xffff800080180e8c 0xffff800080151690 0xffff800080151a84 0xffff800080166a10 0xffff800080166bb4 0xffff800080166ccc 0xffff800080166d58 0xffff800080166f0c 0xffff800080167180 0xffff800080167260 0xffff8000801673f4 0xffff8000801677b8 0xffff80008011a1f0 0xffff8000800afadc 0xffff8000800e10a8 0xffff8000800e1070 0xffff8000800e14b0 0xffff8000800e1530 0xffff8000800e4970 0xffff8000800e19d0 0xffff8000800e1b18 0xffff8000800e1b98 0xffff8000800e1bdc 0xffff8000800e1c1c 0xffff8000800b4188 0xffff8000800b7bd0 0xffff8000800b813c 0xffff8000800b809c 0xffff8000800b8794 0xffff8000800b9804 0xffff8000800b8ee0 0xffff8000800b44a0 0xffff8000800b4708 0xffff8000800b77d0 0xffff8000800b81cc 0xffff80008001eebc 0xffff8000800badd0 0xffff8000800bb07c 0xffff8000800d4208 0xffff8000800bb4e0 0xffff8000800bb624 0xffff8000800bb92c 0xffff8000800bba8c 0xffff8000800bbf3c 0xffff8000800bbf68 0xffff8000800bc518 0xffff8000800bc544 0xffff8000800bc784 0xffff8000800bc894 0xffff8000800bca10 0xffff8000800bcc3c 0xffff8000800bcdc4 0xffff8000800bce7c 0xffff8000800bcff0 0xffff8000800d67ec 0xffff8000800d698c 0xffff8000800bd010 0xffff8000800bd030 0xffff8000800bd2e4 0xffff8000800bd448 0xffff8000800bda3c 0xffff8000800bdfc8 0xffff8000800be018 0xffff8000800be058 0xffff8000800be9bc 0xffff800080156c84 0xffff800080156edc 0xffff80008015738c 0xffff8000800bc8b4 0xffff8000800bc90c 0xffff8000800bc950 0xffff8000800bc980 0xffff8000800bc9b0 0xffff8000800bc9e0 0xffff8000800bc8e0 0xffff8000800beab4 0xffff80008058bb00 0xffff80008058bbe8 0xffff80008058bd44 0xffff80008058be04 0xffff80008058bec4 0xffff80008058bf94 0xffff800080581850 0xffff8000805818cc 0xffff800080581ae0 0xffff800080581a04 0xffff8000805849cc 0xffff800080584a60 0xffff800080585c74 0xffff800080585e74 0xffff800080588504 0xffff800080588588 0xffff800080588b30 0xffff800080588e44 0xffff800080da6d2c 0xffff800080da7060 0xffff800080da7194 0xffff800080da7298 0xffff800080da7580 0xffff800080da7734 0xffff800080da7858 0xffff800080da7990 0xffff800080da7b18 0xffff800080da7cdc 0xffff800080da7e14 0xffff800080da7f1c 0xffff800080da804c 0xffff800080da8850 0xffff800080da8c18 0xffff800080299334 0xffff8000802e5b0c 0xffff8000802e4aac 0xffff8000802ebf90 0xffff800080591500 0xffff800080591750 0xffff800080593730 0xffff80008009e754 0xffff80008037ed9c 0xffff8000800202ec 0xffff8000802933f0 0xffff800080321264 0xffff8000803203cc 0xffff8000802ea0c8 0xffff8000802ec030 0xffff8000802e0194 0xffff8000802e0210 0xffff8000802e02f8 0xffff8000802e04e0 0xffff8000802de148 0xffff80008031953c 0xffff8000802e7130 0xffff800080333358 0xffff80008033090c 0xffff8000803305c4 0xffff800080330678 0xffff80008034251c 0xffff8000800b8338 0xffff8000802797a8 0xffff800080da7550 0xffff800080da8d90 0xffff8000800a6ff0 0xffff8000800bd71c 0xffff8000803d6880 0xffff8000803d6b70 0xffff8000803f6644 0xffff8000803f694c 0xffff8000801673cc 0xffff8000803bcc4c 0xffff8000800d0238 0xffff800080da8ae0 0xffff8000802fd33c 0xffff8000802fd370 0xffff8000801545b0 0xffff8000801516b8 0xffff8000800e10d8 0xffff8000800e1650 0xffff80008038a970 0xffff8000801b06cc 0xffff800080997334 0xffff80008036ce3c 0xffff800080201240 0xffff80008037edf0 0xffff8000803e0464 0xffff800080107920 0xffff8000802e01bc 0xffff800080374d34 0xffff800080373f30 0xffff800080373fa8 0xffff80008037baec 0xffff8000803e401c 0xffff800080285ae8 0xffff800080181620 0xffff8000800b7dc8 0xffff80008060e508 0xffff80008060df38 0xffff800080621230 0xffff8000803a3e3c 0xffff8000803a58c8 0xffff8000803c22b0 0xffff8000803c2580 0xffff8000803a55a0 0xffff8000803c23fc 0xffff8000800ca96c 0xffff80008009e780 0xffff800080370f04 0xffff800080370b90 0xffff8000800caa9c 0xffff80008036f704 0xffff800080319570 0xffff8000803d971c 0xffff8000803a617c 0xffff800080405a74 0xffff8000805a2a5c 0xffff8000805a2c6c 0xffff8000805a2f60 0xffff800080368db0 0xffff800080292d3c 0xffff800080176328 0xffff800080332c14 0xffff80008028e190 0xffff80008036fce0 0xffff8000801764c4 0xffff80008017655c 0xffff8000801766b8 0xffff8000803a69bc 0xffff8000803a69e8 0xffff800080598e5c 0xffff800080598e28 0xffff800080598e8c
[D] Location needs adjustment (bad): restart_syscall (__arm64_sys_restart_syscall) -> arch/arm64/include/asm/current.h:15
[D] Location needs adjustment (bad): umask (__arm64_sys_umask) -> arch/arm64/include/asm/current.h:15
[D] Location needs adjustment (bad): landlock_restrict_self (__arm64_sys_landlock_restrict_self) -> security/landlock/syscalls.c:36
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-arm64-v6.9 0xffff8000805a30af 0xffff8000800b41af 0xffff8000800be047
[D] Running command: rg --line-number --glob '!Documentation/*' --glob '!drivers/*' --glob '!lib/*' --glob '!samples/*' --glob '!sound/*' --glob '!tools/*' --glob '!usr/*' --glob '!arch/*' --glob arch/arm64 --glob '*.c' '\bSYSCALL_DEFINE\d\s*\(\s*\w+'
[I] Kernel has ftrace syscall metadata from FTRACE_SYSCALLS=y
Found 311 implemented syscalls

