[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64 --kdir /mnt/m2data/linux-worktrees/v6.6 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.6
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.6
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.6
Detected kernel version: 6.6.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffffffff80e008b8, type=OBJECT, size=0xe28)
[D] sys_call_table[447]: Symbol("__riscv_sys_memfd_secret" at 0xffffffff80220ef2, type=FUNC, size=0x18c)
[D] sys_call_table[448]: Symbol("__riscv_sys_process_mrelease" at 0xffffffff8018d934, type=FUNC, size=0x1a6)
[D] sys_call_table[449]: Symbol("__riscv_sys_futex_waitv" at 0xffffffff800b215e, type=FUNC, size=0x20)
[D] sys_call_table[450]: Symbol("__riscv_sys_set_mempolicy_home_node" at 0xffffffff802047fc, type=FUNC, size=0x240)
[D] sys_call_table[451]: Symbol("__riscv_sys_cachestat" at 0xffffffff8018a3d8, type=FUNC, size=0x160)
[D] sys_call_table[452]: Symbol("__riscv_sys_fchmodat2" at 0xffffffff80225c94, type=FUNC, size=0xde)
[I] Common syscall symbol prefixes: __riscv_sys_, __riscv_, __
[I] 145 entries point to __riscv_sys_ni_syscall
[I] Syscall lookup_dcookie (__riscv_sys_lookup_dcookie) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall pkey_mprotect (__riscv_sys_pkey_mprotect) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall pkey_alloc (__riscv_sys_pkey_alloc) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall pkey_free (__riscv_sys_pkey_free) is not really implemented: code matches __riscv_sys_ni_syscall
[D] Running command: addr2line -e /mnt/m2data/kernels/vmlinux-riscv64-v6.6 0xffffffff80280ff4 0xffffffff802812ec 0xffffffff80281402 0xffffffff80281778 0xffffffff8028190c 0xffffffff80254e76 0xffffffff80254e98 0xffffffff80254eba 0xffffffff802551da 0xffffffff802551fa 0xffffffff8025521a 0xffffffff802552a8 0xffffffff802552c6 0xffffffff802552e4 0xffffffff8025537e 0xffffffff8025539a 0xffffffff802553b6 0xffffffff8026214a 0xffffffff8027a8de 0xffffffff80277544 0xffffffff802780da 0xffffffff80278244 0xffffffff8024ae76 0xffffffff8024ade8 0xffffffff8023c852 0xffffffff80272698 0xffffffff802726c6 0xffffffff80272a66 0xffffffff8023dfe6 0xffffffff80438080 0xffffffff804382e2 0xffffffff80286ab6 0xffffffff8023a774 0xffffffff8023a958 0xffffffff8023ae2e 0xffffffff8023b03e 0xffffffff8023b3b8 0xffffffff8024ec3a 0xffffffff80250d66 0xffffffff80251594 0xffffffff802633cc 0xffffffff80263402 0xffffffff802253fe 0xffffffff802255f8 0xffffffff802256ea 0xffffffff802257e4 0xffffffff80225840 0xffffffff802258f2 0xffffffff8022597e 0xffffffff80225bfc 0xffffffff80225d72 0xffffffff8022619a 0xffffffff802262c4 0xffffffff80226868 0xffffffff80226b24 0xffffffff80226ba0 0xffffffff80233c46 0xffffffff8029c56e 0xffffffff8023eb2c 0xffffffff80227ea0 0xffffffff80228db2 0xffffffff80228e9e 0xffffffff8022929a 0xffffffff802292b8 0xffffffff80228f4a 0xffffffff8022913a 0xffffffff802292d6 0xffffffff802293be 0xffffffff802296b6 0xffffffff80240928 0xffffffff80240bd8 0xffffffff80278e9c 0xffffffff80260608 0xffffffff80260626 0xffffffff80260b1e 0xffffffff8022ef70 0xffffffff8022ef38 0xffffffff8022ef56 0xffffffff80260e86 0xffffffff80260f84 0xffffffff80260fe2 0xffffffff80261192 0xffffffff80279c2c 0xffffffff80279dc8 0xffffffff80279e76 0xffffffff802615fe 0xffffffff800b7dd2 0xffffffff8001e862 0xffffffff8001ea1c 0xffffffff80012ece 0xffffffff8001913a 0xffffffff800191c2 0xffffffff800191fa 0xffffffff80010e88 0xffffffff80012d36 0xffffffff800b2010 0xffffffff800b1d9e 0xffffffff800b1dce 0xffffffff8009fc7c 0xffffffff800ab0c8 0xffffffff800ab326 0xffffffff800ba330 0xffffffff80096372 0xffffffff80096716 0xffffffff800a805c 0xffffffff800a818c 0xffffffff800a8270 0xffffffff800a82e4 0xffffffff800a845a 0xffffffff800a865c 0xffffffff800a871a 0xffffffff800a8852 0xffffffff800a8b68 0xffffffff800724bc 0xffffffff8001fcee 0xffffffff80047480 0xffffffff8004745a 0xffffffff800477de 0xffffffff80047842 0xffffffff800498aa 0xffffffff80047bbe 0xffffffff80047c50 0xffffffff80047cc2 0xffffffff80047d0a 0xffffffff80047d50 0xffffffff800234e4 0xffffffff800265a2 0xffffffff80026948 0xffffffff8002691e 0xffffffff80026e28 0xffffffff80027400 0xffffffff80027024 0xffffffff800236fa 0xffffffff80023908 0xffffffff8002627a 0xffffffff8002696c 0xffffffff80004eca 0xffffffff80028906 0xffffffff80028b40 0xffffffff8003c074 0xffffffff80028e82 0xffffffff80028f72 0xffffffff80029176 0xffffffff8002927a 0xffffffff800295e4 0xffffffff80029600 0xffffffff80029a9c 0xffffffff80029ab8 0xffffffff80029cf4 0xffffffff80029dc4 0xffffffff80029ec0 0xffffffff8002a060 0xffffffff8002a190 0xffffffff8002a1fe 0xffffffff8002a310 0xffffffff8003dae2 0xffffffff8003dc1e 0xffffffff8002a324 0xffffffff8002a33c 0xffffffff8002a43e 0xffffffff8002a540 0xffffffff8002a9d6 0xffffffff8002ade2 0xffffffff8002ae16 0xffffffff8002ae60 0xffffffff8002b444 0xffffffff8009a8ce 0xffffffff8009aad4 0xffffffff8009af2a 0xffffffff80029ddc 0xffffffff80029e10 0xffffffff80029e40 0xffffffff80029e60 0xffffffff80029e80 0xffffffff80029ea0 0xffffffff80029df6 0xffffffff8002b57c 0xffffffff803d8e56 0xffffffff803d8eee 0xffffffff803d9014 0xffffffff803d90bc 0xffffffff803d9164 0xffffffff803d91e8 0xffffffff803d05b8 0xffffffff803d0616 0xffffffff803d07d8 0xffffffff803d06f6 0xffffffff803d2d38 0xffffffff803d2dae 0xffffffff803d3fa8 0xffffffff803d414a 0xffffffff803d6054 0xffffffff803d60b6 0xffffffff803d6530 0xffffffff803d67be 0xffffffff806bf9d0 0xffffffff806bfc88 0xffffffff806bfd9c 0xffffffff806bfe98 0xffffffff806c00d8 0xffffffff806c0228 0xffffffff806c033c 0xffffffff806c0460 0xffffffff806c060c 0xffffffff806c07ba 0xffffffff806c09c0 0xffffffff806c0b92 0xffffffff806c0c98 0xffffffff806c0ea2 0xffffffff806c12c0 0xffffffff80192a68 0xffffffff801d13e2 0xffffffff801d05fa 0xffffffff801d5d24 0xffffffff803dd514 0xffffffff803dd6b6 0xffffffff803dec7a 0xffffffff800128b4 0xffffffff80231dc0 0xffffffff80005af6 0xffffffff8018dd98 0xffffffff801f3a24 0xffffffff801f2b76 0xffffffff801d469e 0xffffffff801d5d48 0xffffffff801cc596 0xffffffff801cc5ee 0xffffffff801cc6b0 0xffffffff801cc814 0xffffffff801caa0c 0xffffffff801ecc0c 0xffffffff801d265c 0xffffffff80204d9c 0xffffffff80202b42 0xffffffff8020289a 0xffffffff80202944 0xffffffff80213112 0xffffffff80026af8 0xffffffff8017afa2 0xffffffff806c00ba 0xffffffff806c13ce 0xffffffff80005b7a 0xffffffff80005b52 0xffffffff8001955c 0xffffffff8002a798 0xffffffff80275cae 0xffffffff80275f42 0xffffffff8028ffb6 0xffffffff802901c4 0xffffffff800a8838 0xffffffff80260ef4 0xffffffff800393a2 0xffffffff806c115c 0xffffffff801e2f42 0xffffffff801e2f66 0xffffffff800988e6 0xffffffff8009638e 0xffffffff8004749c 0xffffffff80047902 0xffffffff8023b94e 0xffffffff800e1c44 0xffffffff8059f460 0xffffffff8022382e 0xffffffff8011ee80 0xffffffff80231dfc 0xffffffff8027e1a0 0xffffffff8006a4dc 0xffffffff801cc5b2 0xffffffff80229fe6 0xffffffff80229388 0xffffffff80229470 0xffffffff8022f044 0xffffffff802819b8 0xffffffff801828c0 0xffffffff800bae10 0xffffffff80026746 0xffffffff80450f6e 0xffffffff80450550 0xffffffff80450fec 0xffffffff8024fc2a 0xffffffff8025122e 0xffffffff802655ce 0xffffffff80265802 0xffffffff80250f46 0xffffffff802656c8 0xffffffff8003453a 0xffffffff800128d4 0xffffffff80226b84 0xffffffff802268f0 0xffffffff800345c2 0xffffffff80225802 0xffffffff801ecc2c 0xffffffff80278350 0xffffffff80251a0e 0xffffffff8029c8e8 0xffffffff804099d6 0xffffffff80409ac6 0xffffffff80409c58 0xffffffff80220ef2 0xffffffff8018d934 0xffffffff800b215e 0xffffffff802047fc 0xffffffff8018a3d8 0xffffffff80225c94
[D] Running command: rg --line-number --glob '!Documentation/*' --glob '!drivers/*' --glob '!lib/*' --glob '!samples/*' --glob '!sound/*' --glob '!tools/*' --glob '!usr/*' --glob '!arch/*' --glob arch/riscv --glob '*.c' '\bSYSCALL_DEFINE\d\s*\(\s*\w+'
[I] Kernel has ftrace syscall metadata from FTRACE_SYSCALLS=y
Found 304 implemented syscalls

